ref,domain,ar,tgt,tgt_lang,license
hadith:bukhari:1152,hadith,"حدثنا عباس بن الحسين، حدثنا مبشر، عن الاوزاعي،‏.‏ وحدثني محمد بن مقاتل ابو الحسن، قال اخبرنا عبد الله، اخبرنا الاوزاعي، قال حدثني يحيى بن ابي كثير، قال حدثني ابو سلمة بن عبد الرحمن، قال حدثني عبد الله بن عمرو بن العاص  رضى الله عنهما  قال قال لي رسول الله صلى الله عليه وسلم ‏ ""‏ يا عبد الله، لا تكن مثل فلان، كان يقوم الليل فترك قيام الليل ‏""‏‏.‏ وقال هشام حدثنا ابن ابي العشرين، حدثنا الاوزاعي، قال حدثني يحيى، عن عمر بن الحكم بن ثوبان، قال حدثني ابو سلمة، مثله‏.‏ وتابعه عمرو بن ابي سلمة عن الاوزاعي،‏.‏","Narrated `Abdullah bin `Amr bin Al-`As:Allah's Messenger (ﷺ) said to me, ""O `Abdullah! Do not be like so and so who used to pray at night and then stopped the night prayer",en,"Unlicense (aggregator); translator=Muhsin Khan; original translator copyright not independently confirmed, see PLAN.md"
hadith:muslim:256,hadith,"حدثنا عثمان بن ابي شيبة، حدثنا جرير، عن الحسن بن عبيد الله، عن ابي عمرو الشيباني، عن عبد الله، عن النبي صلى الله عليه وسلم قال ‏ ""‏ افضل الاعمال - او العمل - الصلاة لوقتها وبر الوالدين ‏""‏ ‏.‏",It is reported on the authority of 'Abdullah that the Messenger of Allah observed:The best of' the deeds or deed is the (observance of) prayer at its proper time and kindness to the parents,en,"Unlicense (aggregator); translator=Abdul Hamid Siddiqui; original translator copyright not independently confirmed, see PLAN.md"
hadith:nasai:2582,hadith,"اخبرنا محمد بن عبد الاعلى، قال حدثنا خالد، قال حدثنا ابن عون، عن حفصة، عن ام الرائح، عن سلمان بن عامر، عن النبي صلى الله عليه وسلم قال ‏ ""‏ ان الصدقة على المسكين صدقة وعلى ذي الرحم اثنتان صدقة وصلة ‏""‏ ‏.‏","It was narrated from Salman bin 'Amir that the Prophet said:""Giving charity to a poor person is charity, and (giving) to a relative is two things, charity and upholding the ties of kinship",en,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:ibnmajah:1025,hadith,"حدثنا ابو بكر بن ابي شيبة، حدثنا ابو معاوية، عن الاعمش، عن ابي صالح، عن ابي هريرة، قال قال رسول الله  صلى الله عليه وسلم  ‏ ""‏ من مس الحصى فقد لغا ‏""‏ ‏.‏","It was narrated that Abu Hurairah said:The Messenger of Allah (ﷺ) said: “Whoever smoothes the pebbles, then he has engaged in Laghw.”* *Meaning he has done what is not suitable",en,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:bukhari:2510,hadith,"حدثنا علي بن عبد الله، حدثنا سفيان، قال عمرو سمعت جابر بن عبد الله  رضى الله عنهما  يقول قال رسول الله صلى الله عليه وسلم ‏ ""‏ من لكعب بن الاشرف فانه اذى الله ورسوله صلى الله عليه وسلم ‏""‏‏.‏ فقال محمد بن مسلمة انا‏.‏ فاتاه فقال اردنا ان تسلفنا وسقا او وسقين‏.‏ فقال ارهنوني نساءكم‏.‏ قالوا كيف نرهنك نساءنا، وانت اجمل العرب قال فارهنوني ابناءكم‏.‏ قالوا كيف نرهن ابناءنا فيسب احدهم، فيقال رهن بوسق او وسقين هذا عار علينا ولكنا نرهنك اللامة  قال سفيان يعني السلاح  فوعده ان ياتيه فقتلوه، ثم اتوا النبي صلى الله عليه وسلم فاخبروه‏.‏","Narrated Jabir bin `Abdullah:Allah's Messenger (ﷺ) said, ""Who would kill Ka`b bin Al-Ashraf as he has harmed Allah and His Apostle ?"" Muhammad bin Maslama (got up and) said, ""I will kill him."" So, Muhammad bin Maslama went to Ka`b and said, ""I want a loan of one or two Wasqs of food grains."" Ka`b said, ""Mortgage your women to me."" Muhammad bin Maslama said, ""How can we mortgage our women, and you are the most handsome among the Arabs?"" He said, ""Then mortgage your sons to me."" Muhammad said, ""How can we mortgage our sons, as the people will abuse them for being mortgaged for one or two Wasqs of food grains? It is shameful for us. But we will mortgage our arms to you."" So, Muhammad bin Maslama promised him that he would come to him next time. They (Muhammad bin Maslama and his companions came to him as promised and murdered him. Then they went to the Prophet (ﷺ) and told him about it",en,"Unlicense (aggregator); translator=Muhsin Khan; original translator copyright not independently confirmed, see PLAN.md"
hadith:muslim:3011,hadith,وحدثناه ابراهيم بن دينار، حدثنا روح، ح وحدثنا ابو داود المباركي، حدثنا ابو شهاب، ح وحدثنا محمد بن المثنى، حدثنا يحيى بن كثير، كلهم عن شعبة، في هذا الاسناد اما روح ويحيى بن كثير فقالا كما قال نصر اهل رسول الله صلى الله عليه وسلم بالحج ‏.‏ واما ابو شهاب ففي روايته خرجنا مع رسول الله صلى الله عليه وسلم نهل بالحج ‏.‏ وفي حديثهم جميعا فصلى الصبح بالبطحاء ‏.‏ خلا الجهضمي فانه لم يقله ‏.‏,"Rauh and Yahya b. Kathir narrated as Nasr reported that the Messenger of Allah (ﷺ) entered into the state of Ihram for Hajj. And in the narration of Abu Shihab (the words are):We went out with the Messenger of Allah (ﷺ) pronouncing Talbiya for Hajj, And in an the ahadith (narrated in this connection the words are): He led the morning prayer at al-Batha', except al- jahdami who did not make mention of it",en,"Unlicense (aggregator); translator=Abdul Hamid Siddiqui; original translator copyright not independently confirmed, see PLAN.md"
hadith:nasai:3202,hadith,اخبرنا بشر بن خالد العسكري، قال حدثنا غندر، قال حدثنا شعبة، عن سليمان، قال سمعت ابا الضحى، عن مسروق، عن عائشة، رضى الله عنها قالت قد خير رسول الله صلى الله عليه وسلم نساءه اوكان طلاقا ‏.‏,"Narrated 'Aishah:It was narrated that 'Aishah, may Allah be pleased with her, said: ""The Messenger of Allah gave his wives the choice (of staying with him) was it divorce?",en,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:tirmidhi:3462,hadith,"حدثنا عبد الله بن ابي زياد، حدثنا سيار، حدثنا عبد الواحد بن زياد، عن عبد الرحمن بن اسحاق، عن القاسم بن عبد الرحمن، عن ابيه، عن ابن مسعود، قال قال رسول الله صلى الله عليه وسلم ‏ ""‏ لقيت ابراهيم ليلة اسري بي فقال يا محمد اقرئ امتك مني السلام واخبرهم ان الجنة طيبة التربة عذبة الماء وانها قيعان وان غراسها سبحان الله والحمد لله ولا اله الا الله والله اكبر ‏""‏ ‏.‏ قال وفي الباب عن ابي ايوب ‏.‏ قال هذا حديث حسن غريب من هذا الوجه من حديث ابن مسعود ‏.‏","Ibn Mas`ud narrated that:The Messenger of Allah (ﷺ) said: “I met Ibrahim on the night of my ascent, so he said: ‘O Muhammad, recite Salam from me to your nation, and inform them that Paradise has pure soil and delicious water, and that it is a flat treeless plain, and that its seeds are: “Glory is to Allah (Subḥān Allāh) [and] all praise is due to Allah (Al-ḥamdulillāh) and ‘none has the right to be worshipped but Allah’ (Lā ilāha illallāh), and Allah is the greatest (Allāhu Akbar).”",en,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:nasai:4183,hadith,اخبرنا عبد الرحمن بن محمد بن سلام، قال حدثنا عمر بن يونس، عن عكرمة بن عمار، عن الهرماس بن زياد، قال مددت يدي الى النبي صلى الله عليه وسلم وانا غلام ليبايعني فلم يبايعني ‏.‏,"It was narrated that Al-Hirmas bin Ziyad said:""I stretched forth my hand to the Prophet for him to accept my pledge, when I was a child, but he did not accept my pledge",en,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:abudawud:1457,hadith,"حدثنا احمد بن ابي شعيب الحراني، حدثنا عيسى بن يونس، حدثنا ابن ابي ذئب، عن المقبري، عن ابي هريرة، قال قال رسول الله صلى الله عليه وسلم ‏""‏ ‏{‏ الحمد لله رب العالمين ‏}‏ ام القران وام الكتاب والسبع المثاني ‏""‏ ‏.‏","Abu Hurairah reported the Messenger of Allah (ﷺ) as saying:All praise be to Allah, the Lord of the Universe"" is the epitome or basis of the Qur'an, the epitome or basis of the Book, and the seven oft-repeated verses",en,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
