ref,domain,ar,tgt,tgt_lang,license
hadith:nasai:3134,hadith,"اخبرني ابراهيم بن يعقوب، قال حدثنا ابو النضر، هاشم بن القاسم قال حدثنا ابو عقيل عبد الله بن عقيل، قال حدثنا موسى بن المسيب، عن سالم بن ابي الجعد، عن سبرة بن ابي فاكه، قال سمعت رسول الله صلى الله عليه وسلم يقول ‏""‏ ان الشيطان قعد لابن ادم باطرقه فقعد له بطريق الاسلام فقال تسلم وتذر دينك ودين ابائك واباء ابيك فعصاه فاسلم ثم قعد له بطريق الهجرة فقال تهاجر وتدع ارضك وسماءك وانما مثل المهاجر كمثل الفرس في الطول فعصاه فهاجر ثم قعد له بطريق الجهاد فقال تجاهد فهو جهد النفس والمال فتقاتل فتقتل فتنكح المراة ويقسم المال فعصاه فجاهد ‏""‏ ‏.‏ فقال رسول الله صلى الله عليه وسلم ‏""‏ فمن فعل ذلك كان حقا على الله عز وجل ان يدخله الجنة ومن قتل كان حقا على الله عز وجل ان يدخله الجنة وان غرق كان حقا على الله ان يدخله الجنة او وقصته دابته كان حقا على الله ان يدخله الجنة ‏""‏ ‏.‏","Rapporté par Sabrah bin Abi Fakih : J’ai entendu le Messager d’Allah (ﷺ) dire : « Le diable se tient sur les chemins du fils d’Adam. Il l’attend sur le chemin de l’Islam et lui dit : Vas-tu accepter l’Islam et quitter ta religion et celle de tes ancêtres ? Mais il lui désobéit et accepte l’Islam. Ensuite, il l’attend sur le chemin de l’émigration et lui dit : Vas-tu émigrer et quitter ta terre et ton ciel ? Celui qui émigre est comme un cheval attaché à un piquet. Mais il lui désobéit et émigre. Ensuite, il l’attend sur le chemin du Jihad et lui dit : Vas-tu combattre dans le Jihad alors que cela te coûtera ta vie et tes biens ? Tu vas combattre, être tué, ta femme se remariera et tes biens seront partagés. Mais il lui désobéit et combat dans le Jihad. » Le Messager d’Allah (ﷺ) a dit : « Celui qui fait cela a un droit auprès d’Allah, le Tout-Puissant et Majestueux, qu’Il l’admette au Paradis. Celui qui est tué a un droit auprès d’Allah qu’Il l’admette au Paradis. S’il se noie, il a un droit auprès d’Allah qu’Il l’admette au Paradis, ou s’il tombe de sa monture et se brise le cou, il a un droit auprès d’Allah qu’Il l’admette au Paradis. »",fr,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:bukhari:1623,hadith,حدثنا قتيبة بن سعيد، حدثنا سفيان، عن عمرو، سالنا ابن عمر  رضى الله عنهما  ايقع الرجل على امراته في العمرة قبل ان يطوف بين الصفا والمروة قال قدم رسول الله صلى الله عليه وسلم فطاف بالبيت سبعا، ثم صلى خلف المقام ركعتين، وطاف بين الصفا والمروة، وقال ‏{‏لقد كان لكم في رسول الله اسوة حسنة‏}‏‏.‏ قال وسالت جابر بن عبد الله  رضى الله عنهما  فقال لا يقرب امراته حتى يطوف بين الصفا والمروة‏.‏,"Rapporté par `Amr : Nous avons demandé à Ibn `Umar : « Un homme peut-il avoir des relations avec sa femme pendant la `Umra avant de faire le Tawaf entre Safa et Marwa ? » Il a répondu : « Le Messager d’Allah (ﷺ) est arrivé (à La Mecque), a fait sept tours autour de la Ka`ba, puis a prié deux rak`at derrière Maqam Ibrahim (la station d’Abraham), puis il a fait le Tawaf entre Safa et Marwa. » Ibn `Umar a ajouté : « En vérité ! En le Messager d’Allah, vous avez un bon exemple. » J’ai aussi posé la question à Jabir bin `Abdullah, et il a répondu : « Il ne faut pas s’approcher de sa femme (avoir des relations) tant que le Tawaf entre Safa et Marwa n’est pas terminé. »",fr,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:muslim:3766,hadith,"وحدثناه قتيبة بن سعيد، وابو بكر بن ابي شيبة وعمرو الناقد وزهير بن حرب - واللفظ لقتيبة - قالوا حدثنا سفيان بن عيينة، عن الزهري، عن سعيد بن المسيب، عن ابي هريرة، قال جاء رجل من بني فزارة الى النبي صلى الله عليه وسلم فقال ان امراتي ولدت غلاما اسود ‏.‏ فقال النبي صلى الله عليه وسلم ‏""‏ هل لك من ابل ‏""‏ ‏.‏ قال نعم ‏.‏ قال ‏""‏ فما الوانها ‏""‏ ‏.‏ قال حمر ‏.‏ قال ‏""‏ هل فيها من اورق ‏""‏ ‏.‏ قال ان فيها لورقا ‏.‏ قال ‏""‏ فانى اتاها ذلك ‏""‏ ‏.‏ قال عسى ان يكون نزعه عرق ‏.‏ قال ‏""‏ وهذا عسى ان يكون نزعه عرق ‏""‏ ‏.‏","Rapporté par Abu Huraira رضي الله عنه : Un homme de Banu Fazara est venu voir le Prophète ﷺ et a dit : « Ma femme a donné naissance à un enfant noir. » Le Messager d’Allah ﷺ a demandé : « As-tu des chameaux ? » Il a répondu : « Oui. » Il a demandé : « De quelle couleur sont-ils ? » Il a répondu : « Ils sont rouges. » Il a demandé : « Y en a-t-il un foncé parmi eux ? » Il a répondu : « Oui, il y en a. » Il a demandé : « Comment cela se fait-il ? » Il a répondu : « C’est peut-être un ancêtre. » Le Prophète ﷺ a dit : « C’est peut-être un ancêtre (pour ton enfant aussi). »",fr,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:muslim:3574,hadith,"وحدثناه عبد بن حميد، اخبرنا عبد الرزاق، اخبرنا معمر، عن الزهري، بهذا الاسناد جاء افلح اخو ابي القعيس يستاذن عليها ‏.‏ بنحو حديثهم وفيه ‏ ""‏ فانه عمك تربت يمينك ‏""‏ ‏.‏ وكان ابو القعيس زوج المراة التي ارضعت عائشة ‏.‏","Rapporté par Aïcha رضي الله عنها : Aflah, le frère d’Abu’l Qulais رضي الله عنه, est venu demander la permission d’entrer chez elle. Le reste du hadith est identique, sauf que le Prophète ﷺ a dit : « C’est ton oncle. Que ta main soit couverte de poussière. » Abu’l Qulais était le mari de la femme qui avait allaité Aïcha رضي الله عنها",fr,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:ibnmajah:331,hadith,حدثنا ابو بكر بن ابي شيبة، حدثنا اسماعيل ابن علية، عن محمد بن عمرو، عن ابي سلمة، عن المغيرة بن شعبة، قال كان النبي  صلى الله عليه وسلم  اذا ذهب المذهب ابعد ‏.‏,"Rapporté par Mughirah bin Shu'bah : ""Chaque fois que le Prophète allait faire ses besoins, il s’éloignait beaucoup",fr,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:abudawud:1941,hadith,حدثنا عثمان بن ابي شيبة، حدثنا الوليد بن عقبة، حدثنا حمزة الزيات، عن حبيب بن ابي ثابت، عن عطاء، عن ابن عباس، قال كان رسول الله صلى الله عليه وسلم يقدم ضعفاء اهله بغلس ويامرهم يعني لا يرمون الجمرة حتى تطلع الشمس ‏.‏,"Rapporté par Abdullah ibn Abbas : Le Messager d’Allah ﷺ avait l’habitude d’envoyer en avance les membres faibles de sa famille dans l’obscurité (vers Mina), et leur ordonnait de ne pas jeter de cailloux sur les jamrahs avant le lever du soleil",fr,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:bukhari:4992,hadith,"حدثنا سعيد بن عفير، قال حدثني الليث، قال حدثني عقيل، عن ابن شهاب، قال حدثني عروة بن الزبير، ان المسور بن مخرمة، وعبد الرحمن بن عبد القاري، حدثاه انهما، سمعا عمر بن الخطاب، يقول سمعت هشام بن حكيم، يقرا سورة الفرقان في حياة رسول الله صلى الله عليه وسلم فاستمعت لقراءته فاذا هو يقرا على حروف كثيرة لم يقرئنيها رسول الله صلى الله عليه وسلم فكدت اساوره في الصلاة فتصبرت حتى سلم فلببته بردائه فقلت من اقراك هذه السورة التي سمعتك تقرا‏.‏ قال اقرانيها رسول الله صلى الله عليه وسلم‏.‏ فقلت كذبت فان رسول الله صلى الله عليه وسلم قد اقرانيها على غير ما قرات، فانطلقت به اقوده الى رسول الله صلى الله عليه وسلم فقلت اني سمعت هذا يقرا بسورة الفرقان على حروف لم تقرئنيها‏.‏ فقال رسول الله صلى الله عليه وسلم ‏""‏ ارسله اقرا يا هشام ‏""‏‏.‏ فقرا عليه القراءة التي سمعته يقرا‏.‏ فقال رسول الله صلى الله عليه وسلم ‏""‏ كذلك انزلت ‏""‏‏.‏ ثم قال ‏""‏ اقرا يا عمر ‏""‏‏.‏ فقرات القراءة التي اقراني، فقال رسول الله صلى الله عليه وسلم ‏""‏ كذلك انزلت، ان هذا القران انزل على سبعة احرف فاقرءوا ما تيسر منه ‏""‏‏.‏","Rapporté par ‘Umar ibn Al-Khattab : J’ai entendu Hisham ibn Hakim réciter la sourate Al-Furqan du vivant du Messager d’Allah (ﷺ), et j’ai écouté sa récitation et remarqué qu’il la récitait de plusieurs façons que le Messager d’Allah (ﷺ) ne m’avait pas apprises. J’étais sur le point de sauter sur lui pendant sa prière, mais je me suis retenu, et quand il a terminé sa prière, j’ai mis son vêtement sur son cou, je l’ai saisi et j’ai dit : « Qui t’a appris cette sourate que je t’ai entendu réciter ? » Il a répondu : « C’est le Messager d’Allah (ﷺ) qui me l’a apprise. » J’ai dit : « Tu mens, car le Messager d’Allah (ﷺ) me l’a apprise d’une façon différente de la tienne. » Alors je l’ai traîné jusqu’au Messager d’Allah (ﷺ) et j’ai dit : « J’ai entendu cette personne réciter la sourate Al-Furqan d’une manière que tu ne m’as pas enseignée ! » Le Messager d’Allah (ﷺ) a dit : « Relâche-le, ô ‘Umar ! Récite, ô Hisham ! » Il a alors récité de la même façon que je l’avais entendu. Puis le Messager d’Allah (ﷺ) a dit : « Elle a été révélée ainsi. » Il a ajouté : « Récite, ô ‘Umar ! » J’ai récité comme il me l’avait enseigné. Le Messager d’Allah (ﷺ) a alors dit : « Elle a été révélée ainsi. Ce Coran a été révélé pour être récité de sept façons différentes, alors récitez-le de la façon qui vous est la plus facile (ou lisez-en autant qu’il vous est facile). »",fr,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:nasai:3838,hadith,"اخبرنا هارون بن موسى الفروي، قال حدثنا ابو ضمرة، عن يونس، عن ابن شهاب، قال حدثنا ابو سلمة، عن عائشة، ان رسول الله صلى الله عليه وسلم قال ‏ ""‏ لا نذر في معصية وكفارتها كفارة اليمين ‏""‏ ‏.‏","Rapporté par 'Aishah رضي الله عنها : Le Messager d'Allah a dit : « Il n'y a pas de vœu pour accomplir un acte de désobéissance, et son expiation est la même que pour un serment. »",fr,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:nasai:3821,hadith,اخبرنا محمد بن عبد الله بن يزيد، قال حدثنا سفيان، عن ايوب، عن نافع، عن ابن عمر، قال كان على عمر نذر في اعتكاف ليلة في المسجد الحرام فسال رسول الله صلى الله عليه وسلم عن ذلك فامره ان يعتكف ‏.‏,"Rapporté par Ibn 'Umar : 'Umar avait fait le vœu de passer une nuit en ‘Itikaf dans la Mosquée Sacrée. Il a interrogé le Messager d’Allah à ce sujet, et il lui a ordonné d’accomplir l’‘Itikaf",fr,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:bukhari:474,hadith,"حدثنا عبد الله بن يوسف، قال اخبرنا مالك، عن اسحاق بن عبد الله بن ابي طلحة، ان ابا مرة، مولى عقيل بن ابي طالب اخبره عن ابي واقد الليثي، قال بينما رسول الله صلى الله عليه وسلم في المسجد فاقبل ثلاثة نفر، فاقبل اثنان الى رسول الله صلى الله عليه وسلم وذهب واحد، فاما احدهما فراى فرجة فجلس، واما الاخر فجلس خلفهم، فلما فرغ رسول الله صلى الله عليه وسلم قال ‏ ""‏ الا اخبركم عن الثلاثة اما احدهم فاوى الى الله، فاواه الله، واما الاخر فاستحيا، فاستحيا الله منه، واما الاخر فاعرض، فاعرض الله عنه ‏""‏‏.‏","Rapporté par Abu Waqid al-Laithi : Alors que le Messager d'Allah (ﷺ) était assis dans la mosquée (avec des gens), trois hommes sont arrivés. Deux d'entre eux sont venus devant le Messager d'Allah (ﷺ) et le troisième est parti. L'un d'eux a trouvé une place dans le cercle et s'est assis, le deuxième s'est assis derrière le groupe, et le troisième est reparti. Quand le Messager d'Allah (ﷺ) a terminé son prêche, il a dit : Voulez-vous que je vous parle de ces trois personnes ? L'un d'eux s'est tourné vers Allah et Allah l'a accepté et accueilli ; le deuxième a eu honte devant Allah, alors Allah a fait de même pour lui et l'a protégé par Sa miséricorde (et ne l'a pas puni), tandis que le troisième s'est détourné d'Allah et est parti, alors Allah s'est détourné de lui de la même façon",fr,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
