ref,domain,ar,tgt,tgt_lang,license
hadith:abudawud:1355,hadith,حدثنا محمد بن بشار، حدثنا ابو عاصم، حدثنا زهير بن محمد، عن شريك بن عبد الله بن ابي نمر، عن كريب، عن الفضل بن عباس، قال ‏:‏ بت ليلة عند النبي صلى الله عليه وسلم لانظر كيف يصلي فقام فتوضا ثم صلى ركعتين قيامه مثل ركوعه، وركوعه مثل سجوده، ثم نام، ثم استيقظ فتوضا واستن ثم قرا بخمس ايات من ال عمران ‏{‏ ان في خلق السموات والارض واختلاف الليل والنهار ‏}‏ فلم يزل يفعل هذا حتى صلى عشر ركعات، ثم قام فصلى سجدة واحدة فاوتر بها، ونادى المنادي عند ذلك، فقام رسول الله صلى الله عليه وسلم بعد ما سكت المؤذن فصلى سجدتين خفيفتين، ثم جلس حتى صلى الصبح ‏.‏ قال ابو داود ‏:‏ خفي على من ابن بشار بعضه ‏.‏,"Telah menceritakan kepada kami [Muhammad bin Basyar] telah menceritakan kepada kami [Abu 'Ashim] telah menceritakan kepada kami [Zuhair bin Muhammad] dari [Syarik bin Abdullah bin Abu Namir] dari [Kuraib] dari [Al Fadl bin Abbas] dia berkata; ""Aku pernah bermalam di sisi Nabi shallallahu 'alaihi wasallam untuk melihat bagaimana cara beliau shalat (malam). Maka (aku melihat) beliau bangun lalu berwudlu' dan shalat dua raka'at. (lama) beliau berdiri sama seperti ruku' dan sujudnya. Setelah itu beliau tidur, kemudian beliau bangun lagi, lalu berwudlu dan bersiwak, kemudian beliau mengucapkan lima ayat dari surat Ali Imran, yaitu; ""Sesungguhnya dalam penciptaan langit dan bumi, dan silih bergantinya malam dan siang…"" (QS Ali Imran; 190), beliau selalu mengerjakan perbuatan ini, sehingga beliau mengerjakan shalat sepuluh raka'at, kemudian beliau bangun dan mengerjakan shalat satu raka'at sebagai witirnya. Setelah seorang Muadzin menyerukan adzan, maka Rasulullah shallallahu 'alaihi wasallam akan mengerjakan shalat dua raka'at yang ringan, kemudian beliau duduk hingga tiba shalat subuh."" Abu Daud berkata; ""Aku tidak jelas sebagian (riwayat) dari Ibnu Basyar",id,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:muslim:2119,hadith,وحدثنا ابو بكر بن ابي شيبة، حدثنا عبد الاعلى بن عبد الاعلى، عن الجريري، عن حيان بن عمير، عن عبد الرحمن بن سمرة، - وكان من اصحاب رسول الله صلى الله عليه وسلم - قال كنت ارتمي باسهم لي بالمدينة في حياة رسول الله صلى الله عليه وسلم اذ كسفت الشمس فنبذتها فقلت والله لانظرن الى ما حدث لرسول الله صلى الله عليه وسلم في كسوف الشمس قال فاتيته وهو قائم في الصلاة رافع يديه فجعل يسبح ويحمد ويهلل ويكبر ويدعو حتى حسر عنها ‏.‏ قال فلما حسر عنها قرا سورتين وصلى ركعتين ‏.‏,"Telah menceritakan kepada kami [Abu Bakar bin Abu Syaibah] Telah menceritakan kepada kami [Abdul A'la bin Abdul A'la] dari [Al Jurairi] dari [Hayyan bin Umair] dari [Abdurrahman bin Samurah] -ia adalah salah seorang dari sahabat Rasulullah shallallahu 'alaihi wasallam- ia berkata; Aku sedang bermain panah di Madinah pada masa Rasulullah shallallahu 'alaihi wasallam, tiba-tiba terjadilah gerhana matahari, maka aku pun langsung membuangnya dan berkata, ""Demi Allah, aku benar-benar akan melihat apa yang hendak dikerjakan oleh Rasulullah shallallahu 'alaihi wasallam saat terjadi gerhana matahari. Lalu aku pun mendatangi beliau, dan ternyata beliau sedang berdiri untuk menunaikan shalat dengan mengangkat kedua tangannya. Beliau membaca tasbih, tahmid, tahlil dan takbir serta berdo'a hingga matahari bersinar kembali. Setelah matahari bersinar kembali, beliau membaca dua surat dan shalat dua raka'at. Telah menceritakan kepada kami [Muhammad bin Al Mutsanna] Telah menceritakan kepada kami [Salim bin Nuh] telah mengabarkan kepada kami [Al Jurairi] dari [Hayyan bin Umair] dari [Abdurrahman bin Samurah] ia berkata; Ketika aku sedang melempar panah di masa Rasulullah shallallahu 'alaihi wasallam, tiba-tiba terjadi gerhana matahari. Lalu ia pun menyebutkan hadits yang serupa dengan hadits keduanya",id,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:bukhari:6699,hadith,"حدثنا ادم، حدثنا شعبة، عن ابي بشر، قال سمعت سعيد بن جبير، عن ابن عباس  رضى الله عنهما  قال اتى رجل النبي صلى الله عليه وسلم فقال له ان اختي نذرت ان تحج وانها ماتت‏.‏ فقال النبي صلى الله عليه وسلم ‏""‏ لو كان عليها دين اكنت قاضيه ‏""‏‏.‏ قال نعم‏.‏ قال ‏""‏ فاقض الله، فهو احق بالقضاء ‏""‏‏.‏","Telah menceritakan kepada kami [Adam] telah menceritakan kepada kami [Syu'bah] dari [Abu Bisyr] mengatakan, aku mendengar [Sa'id bin Jubair] dari [Ibnu 'Abbas] radliallahu 'anhuma mengatakan; Seorang laki-laki mendatangi Nabi shallallahu 'alaihi wasallam dan berujar; ""Saudariku bernadzar untuk menunaikan haji, namun terburu meninggal."" Maka Nabi shallallahu 'alaihi wasallam bertanya: ""Kalaulah dia mempunyai hutang, apakah kamu berkewajiban melunasinya?"" 'iya' jawabnya. Nabi shallallahu 'alaihi wasallam melanjutkan: ""maka Lunasilah (hutang) kepada Allah, karena ia lebih berhak untuk dipenuhi",id,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:ibnmajah:716,hadith,حدثنا عمرو بن رافع، حدثنا عبد الله بن المبارك، عن معمر، عن الزهري، عن سعيد بن المسيب، عن بلال، انه اتى النبي  صلى الله عليه وسلم  يؤذنه بصلاة الفجر فقيل هو نائم ‏.‏ فقال الصلاة خير من النوم الصلاة خير من النوم فاقرت في تاذين الفجر فثبت الامر على ذلك ‏.‏,"Telah menceritakan kepada kami ['Amru bin Rafi'] berkata, telah menceritakan kepada kami [Abdullah bin Al Mubarak] dari [Ma'mar] dari [Az Zuhri] dari [Sa'id bin Al Musayyab] dari [Bilal] bahwa ia mendatangi Nabi shallallahu 'alaihi wasallam untuk adzan shalat subuh, lalu dikatakan kepadanya: ""Beliau sedang tidur."" Maka bilal pun berkata; ""ASH SHALAATU KHAIRUN MINAN NAUM. ASH SHALAATU KHAIRUN MINAN NAUM (Shalat itu lebih baik daripada tidur. Shalat itu lebih baik daripada tidur)."" Hingga lafadz itu ditetapkan untuk dikumandangkan pada adzan subuh dan perkaranya menjadi tetap seperti itu",id,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:bukhari:6887,hadith,"حدثنا ابو اليمان، اخبرنا شعيب، حدثنا ابو الزناد، ان الاعرج، حدثه انه، سمع ابا هريرة، يقول انه سمع رسول الله صلى الله عليه وسلم يقول ‏""‏ نحن الاخرون السابقون يوم القيامة ‏""‏‏.‏ وباسناده ‏""‏ لو اطلع في بيتك احد ولم تاذن له، خذفته بحصاة ففقات عينه، ما كان عليك من جناح ‏""‏‏.‏","Telah menceritakan kepada kami [Abul yaman] telah mengabarkan kepada kami [Syu'aib] telah menceritakan kepada kami [Abu Az Zanad], bahwasanya [Al A'raj] menceritakan kepadanya, bahwa [Abu Hurairah] berkata; dirinya mendengar Rasulullah shallallahu 'alaihi wasallam bersabda: ""Kami adalah orang-orang terkemudian (generasi pungkasan) di dunia, namun menjadi orang-orang pemula (angkatan pemula) yang masuk surga di hari kiamat",id,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:tirmidhi:2001,hadith,"حدثنا علي بن عيسى البغدادي، حدثنا شبابة بن سوار، حدثنا ابن ابي ذئب، عن القاسم بن عباس، عن نافع بن جبير بن مطعم، عن ابيه، قال تقولون لي في التيه وقد ركبت الحمار ولبست الشملة وقد حلبت الشاة وقد قال رسول الله صلى الله عليه وسلم ‏ ""‏ من فعل هذا فليس فيه من الكبر شيء ‏""‏ ‏.‏ قال ابو عيسى هذا حديث حسن صحيح غريب ‏.‏","Telah menceritakan kepada kami [Ali bin Isa Al Baghdadi], telah menceritakan kepada kami [Syababah bin Sawwar], telah menceritakan kepada kami [Ibnu Abu Dzi`bi] dari [Al Qasim bin Abbas] dari [Nafi' bin Jubair bin Muth'im] dari [bapaknya] ia berkata; Kalian mengatakan aku orang yang sombong, sedang aku mengendarai keledai dan memakai jubah serta memerah susu kambing, dan Rasulullah shallallahu 'alaihi wasallam bersabda: ""Barangsiapa yang melakukan semua itu, maka dia tidak termasuk orang yang sombong."" Berkata Abu Isa: Ini merupakan hadits hasan shahih gharib",id,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:muslim:928,hadith,"حدثنا قتيبة بن سعيد، حدثنا ليث، ح وحدثنا محمد بن رمح، اخبرنا الليث، عن ابي الزبير، عن جابر، قال اشتكى رسول الله صلى الله عليه وسلم فصلينا وراءه وهو قاعد وابو بكر يسمع الناس تكبيره فالتفت الينا فرانا قياما فاشار الينا فقعدنا فصلينا بصلاته قعودا فلما سلم قال ‏ ""‏ ان كدتم انفا لتفعلون فعل فارس والروم يقومون على ملوكهم وهم قعود فلا تفعلوا ائتموا بائمتكم ان صلى قائما فصلوا قياما وان صلى قاعدا فصلوا قعودا ‏""‏ ‏.‏","Telah menceritakan kepada kami [Qutaibah bin Sa'id] telah menceritakan kepada kami [Laits] --lewat jalur periwayatan lain-- dan telah menceritakan kepada kami [Muhammad bin Rumh] telah mengabarkan kepada kami [al-Laits] dari [Abu az-Zubair] dari [Jabir] dia berkata, ""Rasulullah shallallahu 'alaihi wasallam mengaduh, lalu kita shalat di belakangnya, sedangkan beliau dalam keadaan duduk, dan Abu Bakar memperdengarkan takbirnya kepada manusia. Lalu beliau menoleh kepada kami, maka beliau melihat kami shalat dalam keadaan berdiri. Lalu beliau memberi isyarat kepada kami untuk duduk, lalu kami shalat dengan mengikuti shalatnya dalam keadaan duduk. Ketika beliau mengucapkan salam, maka beliau bersabda, ' kalian baru saja hampir melakukan perbuatan kaum Persia dan Rumawi, mereka berdiri di hadapan raja mereka, sedangkan mereka dalam keadaan duduk, maka janganlah kalian melakukannya. Berimamlah dengan imam kalian. Jika dia shalat dalam keadaan berdiri, maka shalatlah kalian dalam keadaan berdiri, dan jika dia shalat dalam keadaan duduk, maka kalian shalatlah dalam keadaan duduk'."" Telah menceritakan kepada kami [Yahya bin Yahya] telah menceritakan kepada kami [Humaid bin Abdurrahman ar-Ruasi] dari [bapaknya] dari [Abu az-Zubair] dari [Jabir] dia berkata, ""Rasulullah shallallahu 'alaihi wasallam shalat mengimami kami, sedangkan Abu Bakar di belakangnya. Apabila Rasulullah shallallahu 'alaihi wasallam bertakbir, maka dia bertakbir untuk memperdengarkan takbirnya kepada kita."" Kemudian dia menyebutkan semisal hadits al-Laits",id,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:bukhari:5566,hadith,حدثنا احمد بن محمد، اخبرنا عبد الله، اخبرنا اسماعيل، عن الشعبي، عن مسروق، انه اتى عائشة، فقال لها يا ام المؤمنين ان رجلا يبعث بالهدى الى الكعبة، ويجلس في المصر، فيوصي ان تقلد بدنته، فلا يزال من ذلك اليوم محرما حتى يحل الناس‏.‏ قال فسمعت تصفيقها من وراء الحجاب فقالت لقد كنت افتل قلائد هدى رسول الله صلى الله عليه وسلم فيبعث هديه الى الكعبة، فما يحرم عليه مما حل للرجال من اهله، حتى يرجع الناس‏.‏,"Telah menceritakan kepada kami [Ahmad bin Muhammad] telah mengabarkan kepada kami [Abdullah] telah mengabarkan kepada kami [Isma'il] dari [Asy Sya'bi] dari [Masruq] bahwa dia pernah menemui [Aisyah] sambil bertanya; ""Wahai ummul mukminin, ada seorang laki-laki mengirimkan hewan kurbannya ke Ka'bah, sementara laki-laki yang mengirim binatang kurban itu berada di daerahnya, dia berwasiat (kepada orang yang di serahi binatang kurban) untuk mengalungi binatang kurbannya. Waktu itu laki-laki (yang di serahi binatang kurban) masih dalam keadaan ihram, hingga akhirnya orang-orang melakukan tahallul."" Masruq berkata; ""Kemudian aku mendengar tepuk tangan Aisyah dari balik tabir sambil berkata; ""Sesungguhnya aku juga pernah membuatkan kalung binatang kurban Rasulullah shallallahu 'alaihi wasallam, kemudian beliau mengirim binatang kurban itu ke Ka'bah, dan segala sesuatu yang halal di lakukan oleh suami kepada isterinya di haramkan atasnya hingga orang-orang kembali pulang (dari menunaikan ibadah haji)",id,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:ibnmajah:2243,hadith,"حدثنا هشام بن عمار، حدثنا مسلم بن خالد الزنجي، حدثنا هشام بن عروة، عن ابيه، عن عائشة، ان رجلا، اشترى عبدا فاستغله ثم وجد به عيبا فرده ‏.‏ فقال يا رسول الله انه قد استغل غلامي ‏.‏ فقال رسول الله  صلى الله عليه وسلم  ‏ ""‏ الخراج بالضمان ‏""‏ ‏.‏","Telah menceritakan kepada kami [Hisyam bin Ammar] berkata, telah menceritakan kepada kami [Muslim bin Khalid Az Zanji] berkata, telah menceritakan kepada kami [Hisyam bin Urwah] dari [Bapaknya] dari ['Aisyah] berkata, ""Seorang laki-laki membeli budak dan memanfaatkannya. Setelah itu ia mendapatkan cacat pada budak tersebut hingga ia pun mengembalikannya. Ia berkata, ""Wahai Rasulullah, ia telah memanfaatkan tenaga budakku! "" maka Rasulullah shallallahu 'alaihi wasallam pun bersabda: ""Kekurangan yang ada pada budakmu itu ada jaminannya",id,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:malik:55,hadith,وحدثني عن مالك، عن محمد بن المنكدر، ان رسول الله صلى الله عليه وسلم دعي لطعام فقرب اليه خبز ولحم فاكل منه ثم توضا وصلى ثم اتي بفضل ذلك الطعام فاكل منه ثم صلى ولم يتوضا ‏.‏,"Perawi menerangkan; telah menceritakan kepadaku dari Malik dari [Muhammad bin Al Munkadir], bahwa Rasulullah shallallahu 'alaihi wasallam diundang untuk makan, lalu disuguhkan kepada beliau roti dan daging, maka beliau memakannya lalu berwudlu dan shalat, kemudian diberikan kepadanya sisa makanan itu dan beliau memakannya lalu shalat dan tidak berwudlu",id,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
