ref,domain,ar,tgt,tgt_lang,license
hadith:nasai:698,hadith,اخبرنا قتيبة، عن مالك، عن عبد الله بن دينار، عن ابن عمر، قال كان رسول الله صلى الله عليه وسلم ياتي قباء راكبا وماشيا ‏.‏,"Abdullah b. Ömer (radıyallahü anh)’den rivâyete göre; Rasûlüllah (sallallahü aleyhi ve sellem) Kuba mescidine bazen yaya bazen de binitli olarak namaz kılmaya gelirdi. (Müslim, Hac: 97; Buhârî, Fad-ı Salati Mescidi Mekke ve Medine:)",tr,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:ibnmajah:3533,hadith,حدثنا محمد بن عبيد بن عتبة بن عبد الرحمن الكندي حدثنا علي بن ثابت حدثنا معاد بن سليمان عن ابي اسحق عن الحارث عن علي رضي الله عنه قال قال رسول الله صلى الله عليه وسلم خير الدواء القران,"Alî (r.a.)'den rivayet edildiğine göre; Resulullah (Sallallahu Aleyhi ve Sellem) şöyle buyurdu, demiştir: «İlâcın en hayırlısı Kur'an'dır.» Not: Zevaid'de şöyle denilmiştir: Bunun senedinde el-Haris el-A'ver bulunur. Bu nivi zayıftır",tr,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:muslim:4245,hadith,"وحدثني زهير بن حرب، وعلي بن حجر السعدي، - واللفظ لزهير - قالا حدثنا اسماعيل بن ابراهيم، حدثنا ايوب، عن ابي قلابة، عن ابي المهلب، عن عمران بن حصين، قال كانت ثقيف حلفاء لبني عقيل فاسرت ثقيف رجلين من اصحاب رسول الله صلى الله عليه وسلم واسر اصحاب رسول الله صلى الله عليه وسلم رجلا من بني عقيل واصابوا معه العضباء فاتى عليه رسول الله صلى الله عليه وسلم وهو في الوثاق قال يا محمد ‏.‏ فاتاه فقال ‏""‏ ما شانك ‏""‏ ‏.‏ فقال بم اخذتني وبم اخذت سابقة الحاج فقال اعظاما لذلك ‏""‏ اخذتك بجريرة حلفائك ثقيف ‏""‏ ‏.‏ ثم انصرف عنه فناداه فقال يا محمد يا محمد ‏.‏ وكان رسول الله صلى الله عليه وسلم رحيما رقيقا فرجع اليه فقال ‏""‏ ما شانك ‏""‏ ‏.‏ قال اني مسلم ‏.‏ قال ‏""‏ لو قلتها وانت تملك امرك افلحت كل الفلاح ‏""‏ ‏.‏ ثم انصرف فناداه فقال يا محمد يا محمد ‏.‏ فاتاه فقال ‏""‏ ما شانك ‏""‏ ‏.‏ قال اني جائع فاطعمني وظمان فاسقني ‏.‏ قال ‏""‏ هذه حاجتك ‏""‏ ‏.‏ ففدي بالرجلين - قال - واسرت امراة من الانصار واصيبت العضباء فكانت المراة في الوثاق وكان القوم يريحون نعمهم بين يدى بيوتهم فانفلتت ذات ليلة من الوثاق فاتت الابل فجعلت اذا دنت من البعير رغا فتتركه حتى تنتهي الى العضباء فلم ترغ قال وناقة منوقة فقعدت في عجزها ثم زجرتها فانطلقت ونذروا بها فطلبوها فاعجزتهم - قال - ونذرت لله ان نجاها الله عليها لتنحرنها فلما قدمت المدينة راها الناس ‏.‏ فقالوا العضباء ناقة رسول الله صلى الله عليه وسلم ‏.‏ فقالت انها نذرت ان نجاها الله عليها لتنحرنها ‏.‏ فاتوا رسول الله صلى الله عليه وسلم فذكروا ذلك له ‏.‏ فقال ‏""‏ سبحان الله بئسما جزتها نذرت لله ان نجاها الله عليها لتنحرنها لا وفاء لنذر في معصية ولا فيما لا يملك العبد ‏""‏ ‏.‏ وفي رواية ابن حجر ‏""‏ لا نذر في معصية الله ‏""‏ ‏.‏","Bana Züheyr b. Harb ile Alî b. Hucr Es-Sa'idî rivayet ettiler. Lâfız Züheyr'indir. (Dedilerki): Bize İsmail b. İbrahim rivayet etti. (Dediki): Bize Eyyûb, Ebû Kılâbe'den, o da Ebu'l-Mühelleb'den, o da Imrân b. Husayn'dan naklen rivayette bulundu. Şöyle demiş: Sakîf (kabilesi) Benî Ukayl'in müttefiki idiler. Derken Sakîf Resûlullah (Sallallahu Aleyhi ve Sellem)'in ashabından iki kişiyi esîr ettiler. Resûlullah (Sallallahu Aleyhi ve Sellem)'in ashabı Benî Ukayl'den bir kişi esîr ettiler; onunla birlikte Adbâ' (ismindeki deve) yi de aldılar. Adam prangada olduğu halde Resûlullah (Sallallahu Aleyhi ve Sellem) onun üzerine geldi. (Adam) : — Yâ Muhammed! diye seslendi. Nebi (Sallallahu Aleyhi ve Sellem) onun yanına gelerek: «Ne istiyorsun?» diye sordu. Adam: — Beni niçin aldın? Ve hacıları geçen (devey) i niçin aldın? dedi. (Resûlullah (Sallallahu Aleyhi ve Sellem) meseleyi büyültmek için): «Seni müttefiklerin olan Sakîf'in cinayetinden dolayı aldım! cevâbını verdi. Sonra ondan ayrılıp gitti. Adam (tekrar) ona seslenerek: — Yâ Muhammed, yâ Muhammed ! dedi. Resûlullah (Sallallahu Aleyhi ve Sellem) merhametli ve nezaketli idi. Bu sebeple ona dönerek: «Ne istiyorsun?» diye sordu. (Adam) : — Ben müslümanım, dedi. Resûlullah (Sallallahu Aleyhi ve Sellem): «Eğer bu sözü kendi umuruna mâlik iken söylemiş olsaydın tamamiyle kurtulurdun! cevâbını verdi. Sonra çekildi gitti. (Adam tekrar) kendilerine seslenerek: — Yâ Muhammed ! Yâ Muhammed ! dedi. Nebi (Sallallahu Aleyhi ve Sellem) yine yanına gelerek: «Ne istiyorsun?» diye sordu. (Adam) : — Ben açım, beni doyur; susuzum, beni sula! dedi. ResûluIIah (Sallallahu Aleyhi ve Sellem) : «Senin hacetin bu mu?» dedi. Sonra (bu adam) o iki kişiye fidye yapıldı. İmrân b. Husayn sözüne şöyle devam etmiş: Ensârdan da bit kadın esir edildi; Adbâ dahî ele geçirildi. Kadın prangada idi. Halk develerini evlerinin önünde eğreklendiriyorlardi. Derken bir akşam bu kadın bağdan boşanarak develerin yanına geldi. Kadın bir deveye yaklaştı mı hayvan böğürüyordu. Nihayet Adbâ'nın yanına vardı. Fakat o böğürmedi; hem de pişkin bir deve idi... Hemen arka tarafına oturdu. Sonra hayvanı sürerek yola revan oldu. Kadını (n kaçtığını) hissederek aradılar taradılar fakat kadın onları âciz bıraktı. Bir de eğer Allah kendisini kurtarırsa bu deveyi boğazlamayı Allah için nezretti. Medine'ye gelince halk kendisini görerek: İş­te Adbâ' ResûluIIah (Sallallahu Aleyhi ve Sellem)'in devesi!., dediler. Kadın, eğer Allak kendisini bu devenin üzerinde kurtarırsa onu mutlaka boğazlamayı nezrettiğini söyledi. Bunun üzerine ResûluIIah {Sallallahu Aleyhi ve Sellem)'e gelerek meseleyi kendisine anlattıklarında: «Sübhânâllah! Onu ne kötü cezalandırmış!.. Eğer Allah kendisini bunun üzerinde kurtarırsa onu mutlaka boğazlamayı nezretmiş!.. Günaha girmek için yapılan nezirle kulun elinde olmayan bir şeye yapılan nezrin îfâsı yoktur.» buyurdular. İbni Hucr'un rivayetinde: «Allah'a ısyân etmek için nezir olmaz!» denilmiştir",tr,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:tirmidhi:944,hadith,حدثنا ابو عمار، حدثنا عيسى بن يونس، عن عبيد الله بن عمر، عن نافع، عن ابن عمر، قال من حج البيت فليكن اخر عهده بالبيت الا الحيض ورخص لهن رسول الله صلى الله عليه وسلم ‏.‏ قال ابو عيسى حديث ابن عمر حديث حسن صحيح ‏.‏ والعمل على هذا عند اهل العلم ‏.‏,"İbn Ömer (r.a.)’den rivâyete göre, şöyle demiştir: “Kim hac yaparsa hac’taki son görevi Ka’be’yi tavaf etmek olsun ancak o günler de hayızlı olan kadınlar bunun dışındadır. Rasûlullah (s.a.v.) onların veda tavafını yapmadan Mekke’den ayrılmalarına izin vermiştir.” Tirmîzî rivâyet etmiştir. Tirmîzî: İbn Ömer hadisi hasen sahihtir. İlim adamları uygulamalarını bu hadise göre yapmışlardır",tr,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:tirmidhi:3631,hadith,حدثنا اسحاق بن موسى الانصاري، حدثنا معن، حدثنا مالك بن انس، عن اسحاق بن عبد الله بن ابي طلحة، عن انس بن مالك، قال رايت رسول الله صلى الله عليه وسلم وحانت صلاة العصر والتمس الناس الوضوء فلم يجدوه فاتي رسول الله صلى الله عليه وسلم بوضوء فوضع رسول الله صلى الله عليه وسلم يده في ذلك الاناء وامر الناس ان يتوضئوا منه ‏.‏ قال فرايت الماء ينبع من تحت اصابعه فتوضا الناس حتى توضئوا من عند اخرهم ‏.‏ قال ابو عيسى وفي الباب عن عمران بن حصين وابن مسعود وجابر وزياد بن الحارث الصدائي وحديث انس حديث حسن صحيح ‏.‏,"Enes b. Mâlik (r.a.)’den rivâyete göre, şöyle demiştir: “İkindi namazı yaklaştığı bir sırada Rasûlullah (s.a.v.)’i gördüm. İnsanlar abdest suyu aradılar fakat bulamadılar. Nebi (s.a.v)’e abdest suyu getirildi. Nebi (s.a.v) elini o kabın içersine koydu ve Müslümanlara o kaptan abdest almalarını emretti. Enes: Rasûlullah (s.a.v.)’in parmaklarının altından suyun fışkırdığını gördüm. Müslümanların hepsi o kaptaki sudan abdestlerini aldılar.” Diğer tahric: Buhârî, Menakıb; Müslim, Fedail Tirmizî: Bu konuda Imrân b. Husayn, İbn Mes’ûd, Câbir, Ziyâd b. Hâris es Sudâî’den de hadis rivâyet edilmiştir. Enes hadisi hasen sahihtir",tr,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:muslim:6006,hadith,"حدثنا يحيى بن يحيى التميمي، وسعيد بن منصور، وابو الربيع العتكي، وابو كامل - واللفظ ليحيى - قال يحيى اخبرنا وقال الاخران، حدثنا - حماد بن زيد، عن ثابت، عن انس بن مالك، قال كان رسول الله صلى الله عليه وسلم احسن الناس وكان اجود الناس وكان اشجع الناس ولقد فزع اهل المدينة ذات ليلة فانطلق ناس قبل الصوت فتلقاهم رسول الله صلى الله عليه وسلم راجعا وقد سبقهم الى الصوت وهو على فرس لابي طلحة عرى في عنقه السيف وهو يقول ‏""‏ لم تراعوا لم تراعوا ‏""‏ ‏.‏ قال ‏""‏ وجدناه بحرا او انه لبحر ‏""‏ ‏.‏ قال وكان فرسا يبطا ‏.‏","Bize Yahya b.Yahya Et-Temîmî ile Said b. Mansûr, Ebû'r-Rabi' EI-Ateki ve Ebû Kâmil rivayet ettiler. Lâfız Yahya'nındır. Yahya Ahberana; ötekiler: Haddesena tâbirlerini kullandılar. (Dedilerki): Bize Hammad b. Zeyd Sabit'den, o da Enes b. Mâlik'den, naklen rivayet etti, Enes şöyle demiş: Resulullah (Sallallahu Aleyhi ve Sellem) insanların en güzeli, en cömerti ve en cesuru idi. Bir gece Medine halkı gerçekten korktu da bir takım insanlar sesin geldiği tarafa gittiler. Resulullah (Sallallahu Aleyhi ve Sellem) ise dönerken onlara rastladı. Sesin geldiği tarafa doğru onlardan önce gitmişti. Ebû Talha'nın çıplak bir atına binmiş; kılıç boynunda : «Korkmayın! Korkmayın!» diyordu. Enes demiş ki: Biz onu derya bulduk. Yahut o gerçekten derya imiş. Halbuki hantallığı ile ma'ruf bir at idli",tr,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:muslim:6658,hadith,"حدثنا ابو كريب، حدثنا ابو اسامة، عن هشام، عن ابيه، قال مر هشام بن حكيم بن حزام على اناس من الانباط بالشام قد اقيموا في الشمس فقال ما شانهم قالوا حبسوا في الجزية ‏.‏ فقال هشام اشهد لسمعت رسول الله صلى الله عليه وسلم يقول ‏ ""‏ ان الله يعذب الذين يعذبون الناس في الدنيا ‏""‏ ‏.‏","Bize Ebû Kureyb rivayet etti. (Dediki): Bize Ebû Usâme, Hişsm'dan, o da babasından naklen rivayet etti. (Demişki): Hişâm b. Hakim b. Hizam Şam'da Acem fellahlarından bazı kimselerin meyanına uğradı, bunlar güneşe karşı dikilmişlerdi. — Bunlara ne olmuş? dedi. — Vergi için hapsedildiler! dediler. Bunun ürerine Hişânı şunu söyledi : — Şehâdet ederim ki, ben Resûlullah (Sallallahu Aleyhi ve Sellem): «Şüphesiz ki Allah dünyada insanları azab edenleri azab edecektir.» buyururken işittim",tr,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:tirmidhi:895,hadith,حدثنا قتيبة، حدثنا ابو خالد الاحمر، عن الاعمش، عن الحكم، عن مقسم، عن ابن عباس، ان النبي صلى الله عليه وسلم افاض قبل طلوع الشمس ‏.‏ قال وفي الباب عن عمر ‏.‏ قال ابو عيسى حديث ابن عباس حديث حسن صحيح ‏.‏ وانما كان اهل الجاهلية ينتظرون حتى تطلع الشمس ثم يفيضون ‏.‏,"İbn Abbâs (r.a.)’den rivâyete göre: “Rasûlullah (s.a.v.), Müzdelife’den güneş doğmadan önce ayrılırdı.” Diğer tahric: Ebû Dâvûd, Menasik; Buhârî, Hac Tirmîzî: Bu konuda Ömer’den de hadis rivâyet edilmiştir. Tirmîzî: İbn Abbâs hadisi hasen sahih olup cahiliye dönemi insanları güneş doğduktan sonra Müzdelife’den ayrılırlardı",tr,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:bukhari:318,hadith,"حدثنا مسدد، قال حدثنا حماد، عن عبيد الله بن ابي بكر، عن انس بن مالك، عن النبي صلى الله عليه وسلم قال ‏ ""‏ ان الله  عز وجل  وكل بالرحم ملكا يقول يا رب نطفة، يا رب علقة، يا رب مضغة‏.‏ فاذا اراد ان يقضي خلقه قال اذكر ام انثى شقي ام سعيد فما الرزق والاجل فيكتب في بطن امه ‏""‏‏.‏","Enes İbn Malik Nebi (Sallallahu aleyhi ve Sellem)'in şöyle buyurduğunu nakletmiştir: ""Allah Teâlâ her rahim İçin bir melek görevlendirmiştir. Melek, 'Ya Rabbi bir nutfe yarattın. Ya Rabbi alaka yarattın. Ya Rabbi rnudğa yarattın'' der. Allah Teâlâ ana rahmindeki bebeğin yaşamasını murad ettiği zaman Melek, onun erkek mi, kız mı; şaki mi saîd mi olacağını, ne kadar rızıklandırılacağını ve ne kadar yaşayacağını sorar. Bütün bunlar, ana rahminde karara bağlanır",tr,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:abudawud:4026,hadith,حدثنا زياد بن ايوب، حدثنا ابو تميلة، قال حدثني عبد المؤمن بن خالد، عن عبد الله بن بريدة، عن ابيه، عن ام سلمة، قالت لم يكن ثوب احب الى رسول الله صلى الله عليه وسلم من قميص ‏.‏,Ümmü Seleme'den şöyle dediği rivayet edilmiştir: Resıılullah (s.a.v)'e hiçbir elbise gömlekten daha sevimli değildi,tr,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
