ref,domain,ar,tgt,tgt_lang,license
hadith:ibnmajah:3871,hadith,"حدثنا علي بن محمد الطنافسي، حدثنا وكيع، حدثنا عبادة بن مسلم، حدثنا جبير بن ابي سليمان بن جبير بن مطعم، قال سمعت ابن عمر، يقول لم يكن رسول الله  صلى الله عليه وسلم  يدع هؤلاء الدعوات حين يمسي وحين يصبح ‏ ""‏ اللهم اني اسالك العفو والعافية في الدنيا والاخرة اللهم اني اسالك العفو والعافية في ديني ودنياى واهلي ومالي اللهم استر عوراتي وامن روعاتي واحفظني من بين يدى ومن خلفي وعن يميني وعن شمالي ومن فوقي واعوذ بك ان اغتال من تحتي ‏""‏ ‏.‏ قال وكيع يعني الخسف ‏.‏",عبداللہ بن عمر رضی اللہ عنہما کہتے ہیں کہ رسول اللہ صلی اللہ علیہ وسلم صبح و شام ان دعاؤں کو نہیں چھوڑتے تھے: «اللهم إني أسألك العفو والعافية في الدنيا والآخرة اللهم إني أسألك العفو والعافية في ديني ودنياي وأهلي ومالي اللهم استر عوراتي وآمن روعاتي واحفظني من بين يدي ومن خلفي وعن يميني وعن شمالي ومن فوقي وأعوذ بك أن أغتال من تحتي» اے اللہ! میں تجھ سے دنیا اور آخرت میں عفو اور عافیت کا طالب ہوں، اے اللہ! میں تجھ سے اپنے دین و دنیا اور اپنے اہل و مال میں معافی اور عافیت کا طالب ہوں، اے اللہ! میرے عیوب چھپا دے، میرے دل کو مامون کر دے، اور میرے آگے پیچھے، دائیں بائیں، اور اوپر سے میری حفاظت فرما، اور میں تیری پناہ چاہتا ہوں نیچے سے ہلاک کئے جانے سے ۔ وکیع کہتے ہیں:«أغتال من تحتي» کے معنی دھنسا دئیے جانے کے ہیں,ur,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:abudawud:2180,hadith,حدثنا قتيبة بن سعيد، حدثنا الليث، عن نافع، ان ابن عمر، طلق امراة له وهي حائض تطليقة بمعنى حديث مالك ‏.‏,نافع سے روایت ہے کہ ابن عمر رضی اللہ عنہما نے اپنی ایک عورت کو حالت حیض میں ایک طلاق دے دی، آگے مالک کی حدیث کے ہم معنی روایت ہے۔,ur,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:abudawud:35,hadith,"حدثنا ابراهيم بن موسى الرازي، اخبرنا عيسى بن يونس، عن ثور، عن الحصين الحبراني، عن ابي سعيد، عن ابي هريرة، عن النبي صلى الله عليه وسلم قال ‏ ""‏ من اكتحل فليوتر من فعل فقد احسن ومن لا فلا حرج ومن استجمر فليوتر من فعل فقد احسن ومن لا فلا حرج ومن اكل فما تخلل فليلفظ وما لاك بلسانه فليبتلع من فعل فقد احسن ومن لا فلا حرج ومن اتى الغائط فليستتر فان لم يجد الا ان يجمع كثيبا من رمل فليستدبره فان الشيطان يلعب بمقاعد بني ادم من فعل فقد احسن ومن لا فلا حرج ‏""‏ ‏.‏ قال ابو داود رواه ابو عاصم عن ثور قال حصين الحميري ورواه عبد الملك بن الصباح عن ثور فقال ابو سعيد الخير ‏.‏ قال ابو داود ابو سعيد الخير هو من اصحاب النبي صلى الله عليه وسلم ‏.‏",ابوہریرہ رضی اللہ عنہ سے روایت ہے کہ نبی اکرم صلی اللہ علیہ وسلم نے فرمایا: جو شخص سرمہ لگائے تو طاق لگائے، جس نے ایسا کیا اس نے اچھا کیا، اور جس نے ایسا نہیں کیا تو اس میں کوئی مضائقہ اور حرج نہیں، جو شخص ( استنجاء کے لیے ) پتھر یا ڈھیلا لے تو طاق لے، جس نے ایسا کیا اس نے اچھا کیا، اور جس نے ایسا نہیں کیا تو کوئی حرج نہیں، اور جو شخص کھانا کھائے تو خلال کرنے سے جو کچھ نکلے اسے پھینک دے، اور جسے زبان سے نکالے اسے نگل جائے، جس نے ایسا کیا اس نے اچھا کیا، اور جس نے ایسا نہیں کیا تو کوئی حرج نہیں، جو شخص قضائے حاجت ( پیشاب و پاخانہ ) کے لیے جائے تو پردہ کرے، اگر پردہ کے لیے کوئی چیز نہ پائے تو بالو یا ریت کا ایک ڈھیر لگا کر اس کی طرف پیٹھ کر کے بیٹھ جائے کیونکہ شیطان آدمی کی شرمگاہ سے کھیلتا ہے ۱؎، جس نے ایسا کیا اس نے اچھا کیا، اور جس نے نہیں کیا تو کوئی مضائقہ نہیں ۔ ابوداؤد کہتے ہیں: اسے ابوعاصم نے ثور سے روایت کی ہے، اس میں ( حصین حبرانی کی جگہ ) حصین حمیری ہے، اور عبدالملک بن صباح نے بھی اسے ثور سے روایت کیا ہے، اس میں ( ابوسعید کی جگہ ) ابوسعید الخیر ہے۔ ابوداؤد کہتے ہیں: ابوسعید الخیر نبی اکرم صلی اللہ علیہ وسلم کے اصحاب میں سے ہیں۔,ur,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:bukhari:2010,hadith,وعن ابن شهاب، عن عروة بن الزبير، عن عبد الرحمن بن عبد القاري، انه قال خرجت مع عمر بن الخطاب  رضى الله عنه  ليلة في رمضان، الى المسجد، فاذا الناس اوزاع متفرقون يصلي الرجل لنفسه، ويصلي الرجل فيصلي بصلاته الرهط فقال عمر اني ارى لو جمعت هؤلاء على قارئ واحد لكان امثل‏.‏ ثم عزم فجمعهم على ابى بن كعب، ثم خرجت معه ليلة اخرى، والناس يصلون بصلاة قارئهم، قال عمر نعم البدعة هذه، والتي ينامون عنها افضل من التي يقومون‏.‏ يريد اخر الليل، وكان الناس يقومون اوله‏.‏,اور ابن شہاب سے (امام مالک رحمہ اللہ) کی روایت ہے، انہوں نے عروہ بن زبیر رضی اللہ عنہ سے اور انہوں نے عبدالرحمٰن بن عبدالقاری سے روایت کی کہ انہوں نے بیان کیا میں عمر بن خطاب رضی اللہ عنہ کے ساتھ رمضان کی ایک رات کو مسجد میں گیا۔ سب لوگ متفرق اور منتشر تھے، کوئی اکیلا نماز پڑھ رہا تھا، اور کچھ کسی کے پیچھے کھڑے ہوئے تھے۔ اس پر عمر رضی اللہ عنہ نے فرمایا، میرا خیال ہے کہ اگر میں تمام لوگوں کو ایک قاری کے پیچھے جمع کر دوں تو زیادہ اچھا ہو گا، چنانچہ آپ نے یہی ٹھان کر ابی بن کعب رضی اللہ عنہ کو ان کا امام بنا دیا۔ پھر ایک رات جو میں ان کے ساتھ نکلا تو دیکھا کہ لوگ اپنے امام کے پیچھے نماز ( تراویح ) پڑھ رہے ہیں۔ عمر رضی اللہ عنہ نے فرمایا، یہ نیا طریقہ بہتر اور مناسب ہے اور ( رات کا ) وہ حصہ جس میں یہ لوگ سو جاتے ہیں اس حصہ سے بہتر اور افضل ہے جس میں یہ نماز پڑھتے ہیں۔ آپ کی مراد رات کے آخری حصہ ( کی فضیلت ) سے تھی کیونکہ لوگ یہ نماز رات کے شروع ہی میں پڑھ لیتے تھے۔,ur,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:muslim:6182,hadith,"حدثنا محمد بن ابي عمر المكي، حدثنا مروان بن معاوية الفزاري، عن يزيد، - وهو ابن كيسان - عن ابي حازم الاشجعي، عن ابي هريرة، قال قال رسول الله صلى الله عليه وسلم ‏""‏ من اصبح منكم اليوم صائما ‏""‏ ‏.‏ قال ابو بكر انا ‏.‏ قال ‏""‏ فمن تبع منكم اليوم جنازة ‏""‏ ‏.‏ قال ابو بكر انا ‏.‏ قال ‏""‏ فمن اطعم منكم اليوم مسكينا ‏""‏ ‏.‏ قال ابو بكر انا ‏.‏ قال ‏""‏ فمن عاد منكم اليوم مريضا ‏""‏ ‏.‏ قال ابو بكر انا ‏.‏ فقال رسول الله صلى الله عليه وسلم ‏""‏ ما اجتمعن في امرئ الا دخل الجنة ‏""‏ ‏.‏","حضرت ابو ہریرہ رضی اللہ تعالیٰ عنہ سے روایت ہے ، کہا : رسول اللہ صلی اللہ علیہ وسلم نے دریا فت کیا : "" آج تم میں سے کس نے روزہ رکھا ہے؟ "" حضرت ابو بکر رضی اللہ تعالیٰ عنہ نے کہا : میں نے ۔ آپ صلی اللہ علیہ وسلم نے فرما یا : "" آج تم میں سے کون جنازے میں شامل ہوا ۔ ؟ "" ابوبکر رضی اللہ تعالیٰ عنہ نے کہا : میں ۔ آپ صلی اللہ علیہ وسلم نے فر ما یا : "" آج تم میں سے کس شخص نے کسی مسکین کو کھا نا کھلا یا ؟ "" حضرت ابو بکر رضی اللہ تعالیٰ عنہ نے کہا : میں نے ۔ آپ نے فر ما یا : "" آج تم میں سے کس شخص نے کسی مریض کی عیادت کی ہے ۔ ؟حضرت ابوبکر رضی اللہ تعالیٰ عنہ نے کہا : میں نے رسول اللہ صلی اللہ علیہ وسلم نے فر ما یا : "" جس کسی آدمی میں یہ سب اوصاف اکٹھے ہو تے ہیں تو وہ جنت میں داخل ہو جاتا ہے ۔",ur,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:bukhari:4304,hadith,"حدثنا محمد بن مقاتل، اخبرنا عبد الله، اخبرني يونس، عن الزهري، قال اخبرني عروة بن الزبير، ان امراة، سرقت في عهد رسول الله صلى الله عليه وسلم في غزوة الفتح، ففزع قومها الى اسامة بن زيد يستشفعونه، قال عروة فلما كلمه اسامة فيها تلون وجه رسول الله صلى الله عليه وسلم فقال ‏""‏ اتكلمني في حد من حدود الله ‏""‏‏.‏ قال اسامة استغفر لي يا رسول الله‏.‏ فلما كان العشي قام رسول الله صلى الله عليه وسلم خطيبا، فاثنى على الله بما هو اهله ثم قال ‏""‏ اما بعد، فانما اهلك الناس قبلكم انهم كانوا اذا سرق فيهم الشريف تركوه، واذا سرق فيهم الضعيف اقاموا عليه الحد، والذي نفس محمد بيده، لو ان فاطمة بنت محمد سرقت لقطعت يدها ‏""‏‏.‏ ثم امر رسول الله صلى الله عليه وسلم بتلك المراة، فقطعت يدها، فحسنت توبتها بعد ذلك وتزوجت‏.‏ قالت عائشة فكانت تاتي بعد ذلك فارفع حاجتها الى رسول الله صلى الله عليه وسلم‏.‏",ہم سے محمد بن مقاتل نے بیان کیا، کہا کہ ہم کو عبداللہ بن مبارک نے خبر دی، انہیں یونس نے خبر دی، انہیں زہری نے، کہا کہ مجھے عروہ بن زبیر نے خبر دی کہ غزوہ فتح ( مکہ ) کے موقع پر ایک عورت نے نبی کریم صلی اللہ علیہ وسلم کے عہد میں چوری کر لی تھی۔ اس عورت کی قوم گھبرائی ہوئی اسامہ بن زید رضی اللہ عنہما کے پاس آئی تاکہ وہ نبی کریم صلی اللہ علیہ وسلم سے اس کی سفارش کر دیں ( کہ اس کا ہاتھ چوری کے جرم میں نہ کاٹا جائے ) ۔ عروہ نے بیان کیا کہ جب اسامہ رضی اللہ عنہ نے اس کے بارے میں نبی کریم صلی اللہ علیہ وسلم سے گفتگو کی تو آپ صلی اللہ علیہ وسلم کے چہرے کا رنگ بدل گیا اور آپ صلی اللہ علیہ وسلم نے فرمایا! تم مجھ سے اللہ کی قائم کی ہوئی ایک حد کے بارے میں سفارش کرنے آئے ہو۔ اسامہ رضی اللہ عنہ نے عرض کیا: میرے لیے دعا مغفرت کیجئے، یا رسول اللہ! پھر دوپہر بعد نبی کریم صلی اللہ علیہ وسلم نے صحابہ رضی اللہ عنہم کو خطاب کیا، اللہ تعالیٰ کی اس کے شان کے مطابق تعریف کرنے کے بعد فرمایا: امابعد! تم میں سے پہلے لوگ اس لیے ہلاک ہو گئے کہ اگر ان میں سے کوئی معزز شخص چوری کرتا تو اسے چھوڑ دیتے لیکن اگر کوئی کمزور چوری کر لیتا تو اس پر حد قائم کرتے اور اس ذات کی قسم جس کے ہاتھ میں محمد صلی اللہ علیہ وسلم کی جان ہے اگر فاطمہ بنت محمد بھی چوری کر لے تو میں اس کا ہاتھ کاٹوں گا۔ اس کے بعد نبی کریم صلی اللہ علیہ وسلم نے اس عورت کے لیے حکم دیا اور ان کا ہاتھ کاٹ دیا گیا۔ پھر اس عورت نے صدق دل سے توبہ کر لی اور شادی بھی کر لی۔ عائشہ رضی اللہ عنہا نے بیان کیا کہ بعد میں وہ میرے یہاں آتی تھیں۔ ان کو اور کوئی ضرورت ہوتی تو میں رسول اللہ صلی اللہ علیہ وسلم کے سامنے پیش کر دیتی۔,ur,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:bukhari:5516,hadith,حدثنا حجاج بن منهال، حدثنا شعبة، قال اخبرني عدي بن ثابت، قال سمعت عبد الله بن يزيد، عن النبي صلى الله عليه وسلم انه نهى عن النهبة والمثلة‏.‏,ہم سے حجاج بن منہال نے بیان کیا، کہا ہم سے شعبہ نے بیان کیا، کہا کہ مجھ کو عدی بن ثابت نے خبر دی، کہا کہ میں نے عبداللہ بن زید رضی اللہ عنہ سے سنا، انہوں نے نبی کریم صلی اللہ علیہ وسلم سے کہ نبی کریم صلی اللہ علیہ وسلم نے رہزنی کرنے اور مثلہ کرنے سے منع فرمایا ہے۔,ur,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:ibnmajah:414,hadith,حدثنا عبد الرحمن بن ابراهيم الدمشقي، حدثنا الوليد بن مسلم، حدثنا الاوزاعي، عن المطلب بن عبد الله بن حنطب، عن ابن عمر، انه توضا ثلاثا ثلاثا ورفع ذلك الى النبي  صلى الله عليه وسلم  ‏.‏,مطلب بن عبداللہ بن حنطب کہتے ہیں کہ ابن عمر رضی اللہ عنہما نے اعضاء وضو کو تین تین بار دھویا، اور اس کو نبی اکرم صلی اللہ علیہ وسلم کی طرف منسوب کیا ۱؎۔,ur,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:muslim:1808,hadith,"حدثنا قتيبة بن سعيد، عن مالك بن انس، عن ابي الزبير، عن طاوس، عن ابن، عباس ان رسول الله صلى الله عليه وسلم كان يقول اذا قام الى الصلاة من جوف الليل ‏ ""‏ اللهم لك الحمد انت نور السموات والارض ولك الحمد انت قيام السموات والارض ولك الحمد انت رب السموات والارض ومن فيهن انت الحق ووعدك الحق وقولك الحق ولقاؤك حق والجنة حق والنار حق والساعة حق اللهم لك اسلمت وبك امنت وعليك توكلت واليك انبت وبك خاصمت واليك حاكمت فاغفر لي ما قدمت واخرت واسررت واعلنت انت الهي لا اله الا انت ‏""‏ ‏.‏","امام مالک ؒ نے ابو زہیر سے ، انھوں نے طاؤس سے اور انھوں نے حضرت ابن عباس رضی اللہ تعالیٰ عنہ سے روایت کی کہ رسول اللہ صلی اللہ علیہ وسلم جب رات کی آ خری تہائی میں نماز کے لئے اٹھتے تو فرماتے : "" اے اللہ ! تمام تعریف تیرے ہی لئے ہے ، تو آسمانوں اور زمین کا نور ہے اور تیرے ہی لئے حمد ہے تو آسمانوں اور زمین کو قائم رکھنے والا ہے اور تیرے ہی لئے حمد ہےتو آسمانوں اور زمین کا اور جو کچھ ان میں ہے تو پالنے والا ہے ۔ اور توبرحق ہے اور تیرا وعدہ سچا ہے اور تیرا قول اٹل ہے اور تیرے ساتھ ملاقات قطعی ہے اور جنت حق ہے اور جہنم حق ہے اور قیامت حق ہے ۔ اے اللہ میں نے اپنے آپ کو تیرے سپرد کردیا اور میں تجھ پر ایمان لایا اور میں نے تجھ پر توکل اور بھروسہ کیا اور تیری طرف رجوع کیا اور تیر ی توفیق سے ( تیرے منکروں سے ) جھگڑا کیا اور تیرے ہی حضور فیصلہ لایا ( تجھے ہی حاکم تسلیم کیا ) تو بخش دے وہ گناہ جو میں نے پہلے کیے اور جو بعد میں کئے اور جو چھپ کرکئے اور جو ظاہرا کیے تو ہی میرا معبود ہے تیرے سوا کوئی معبود نہیں ۔",ur,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
hadith:muslim:6660,hadith,"حدثني ابو الطاهر، اخبرنا ابن وهب، اخبرني يونس، عن ابن شهاب، عن عروة، بن الزبير ان هشام بن حكيم، وجد رجلا وهو على حمص يشمس ناسا من النبط في اداء الجزية فقال ما هذا اني سمعت رسول الله صلى الله عليه وسلم يقول ‏ ""‏ ان الله يعذب الذين يعذبون الناس في الدنيا ‏""‏ ‏.‏","ابن شہاب نے عروہ بن زبیر سے روایت کی کہ حضرت ہشام بن حکیم رضی اللہ عنہ نے ایک شخص کو دیکھا ، وہ حمص کا عامل تھا ۔ اس نے نبطیوں میں سے کچھ لوگوں کو جزیے کی ادائیگی کے سلسلے میں دھوپ میں کھڑا کیا ہوا تھا تو انہوں نے پوچھا : یہ کیا ہے؟ میں نے رسول اللہ صلی اللہ علیہ وسلم کو یہ فرماتے ہوئے سنا : "" بلاشبہ اللہ تعالیٰ ان لوگوں کو مبتلائے عذاب کرے گا جو دنیا میں لوگوں کو عذاب میں مبتلا کرتے ہیں ۔",ur,"Unlicense (aggregator); translator=Unknown; original translator copyright not independently confirmed, see PLAN.md"
