ref,domain,ar,tgt,tgt_lang,license
quran:3:88,quran,خلدين فيها لا يخفف عنهم ٱلعذاب ولا هم ينظرون,"They will abide therein (Hell). Neither will their torment be lightened, nor will it be delayed or postponed (for a while)",en,Unlicense (aggregator); translator=Muhammad Taqi Ud Din Al Hilali And Muhammad Muhsin Khan; source approved as government/waqf body
quran:2:92,quran,ولقد جاءكم موسى بٱلبينت ثم ٱتخذتم ٱلعجل من بعده وانتم ظلمون,"And indeed Musa (Moses) came to you with clear proofs, yet you worshipped the calf after he left, and you were Zalimun (polytheists and wrong-doers)",en,Unlicense (aggregator); translator=Muhammad Taqi Ud Din Al Hilali And Muhammad Muhsin Khan; source approved as government/waqf body
quran:21:57,quran,وتٱلله لاكيدن اصنمكم بعد ان تولوا مدبرين,"And by Allah, I shall plot a plan (to destroy) your idols after you have gone away and turned your backs",en,Unlicense (aggregator); translator=Muhammad Taqi Ud Din Al Hilali And Muhammad Muhsin Khan; source approved as government/waqf body
quran:2:54,quran,واذ قال موسى لقومه يقوم انكم ظلمتم انفسكم بٱتخاذكم ٱلعجل فتوبوا الى باريكم فٱقتلوا انفسكم ذلكم خير لكم عند باريكم فتاب عليكم انه هو ٱلتواب ٱلرحيم,"And (remember) when Musa (Moses) said to his people: ""O my people! Verily, you have wronged yourselves by worshipping the calf. So turn in repentance to your Creator and kill yourselves (the innocent kill the wrongdoers among you), that will be better for you with your Lord."" Then He accepted your repentance. Truly, He is the One Who accepts repentance, the Most Merciful",en,Unlicense (aggregator); translator=Muhammad Taqi Ud Din Al Hilali And Muhammad Muhsin Khan; source approved as government/waqf body
quran:6:86,quran,واسمعيل وٱليسع ويونس ولوط ا وكل ا فضلنا على ٱلعلمين,"And Isma'il (Ishmael) and Al-Yas'a (Elisha), and Yunus (Jonah) and Lout (Lot), and each one of them We preferred above the 'Alamin (mankind and jinns) (of their times)",en,Unlicense (aggregator); translator=Muhammad Taqi Ud Din Al Hilali And Muhammad Muhsin Khan; source approved as government/waqf body
quran:3:133,quran,وسارعوا الى مغفرة من ربكم وجنة عرضها ٱلسموت وٱلارض اعدت للمتقين,"And march forth in the way (which leads to) forgiveness from your Lord, and for Paradise as wide as are the heavens and the earth, prepared for Al-Muttaqun (the pious - see V)",en,Unlicense (aggregator); translator=Muhammad Taqi Ud Din Al Hilali And Muhammad Muhsin Khan; source approved as government/waqf body
quran:28:30,quran,فلما اتىها نودي من شطي ٱلواد ٱلايمن في ٱلبقعة ٱلمبركة من ٱلشجرة ان يموسى اني انا ٱلله رب ٱلعلمين,"So when he reached it (the fire), he was called from the right side of the valley, in the blessed place from the tree: ""O Musa (Moses)! Verily! I am Allah, the Lord of the 'Alamin (mankind, jinns and all that exists)",en,Unlicense (aggregator); translator=Muhammad Taqi Ud Din Al Hilali And Muhammad Muhsin Khan; source approved as government/waqf body
quran:2:180,quran,كتب عليكم اذا حضر احدكم ٱلموت ان ترك خيرا ٱلوصية للولدين وٱلاقربين بٱلمعروف حقا على ٱلمتقين,"It is prescribed for you, when death approaches any of you, if he leaves wealth, that he make a bequest to parents and next of kin, according to reasonable manners. (This is) a duty upon Al-Muttaqun (the pious - see V)",en,Unlicense (aggregator); translator=Muhammad Taqi Ud Din Al Hilali And Muhammad Muhsin Khan; source approved as government/waqf body
quran:11:20,quran,اوليك لم يكونوا معجزين في ٱلارض وما كان لهم من دون ٱلله من اولياء يضعف لهم ٱلعذاب ما كانوا يستطيعون ٱلسمع وما كانوا يبصرون,"By no means will they escape (from Allah's Torment) on earth, nor have they protectors besides Allah! Their torment will be doubled! They could not bear to hear (the preachers of the truth) and they used not to see (the truth because of their severe aversin, inspite of the fact that they had the sense of hearing and sight)",en,Unlicense (aggregator); translator=Muhammad Taqi Ud Din Al Hilali And Muhammad Muhsin Khan; source approved as government/waqf body
quran:44:12,quran,ربنا ٱكشف عنا ٱلعذاب انا مومنون,"(They will say): ""Our Lord! Remove the torment from us, really we shall become believers",en,Unlicense (aggregator); translator=Muhammad Taqi Ud Din Al Hilali And Muhammad Muhsin Khan; source approved as government/waqf body
