ref,domain,ar,tgt,tgt_lang,license
quran:71:25,quran,مما خطيتهم اغرقوا فادخلوا نار ا فلم يجدوا لهم من دون ٱلله انصار ا,"Disebabkan kesalahan-kesalahan mereka, mereka ditenggelamkan lalu dimasukkan ke neraka, maka mereka tidak mendapat penolong selain Allah",id,Unlicense (aggregator); translator=Indonesian Islamic Affairs Ministry; source approved as government/waqf body
quran:27:65,quran,قل لا يعلم من في ٱلسموت وٱلارض ٱلغيب الا ٱلله وما يشعرون ايان يبعثون,"Katakanlah (Muhammad), ""Tidak ada sesuatu pun di langit dan di bumi yang mengetahui perkara yang gaib, kecuali Allah. Dan mereka tidak mengetahui kapan mereka akan dibangkitkan",id,Unlicense (aggregator); translator=Indonesian Islamic Affairs Ministry; source approved as government/waqf body
quran:11:16,quran,اوليك ٱلذين ليس لهم في ٱلاخرة الا ٱلنار وحبط ما صنعوا فيها وبطل ما كانوا يعملون,"Itulah orang-orang yang tidak memperoleh di akhirat, kecuali neraka dan lenyaplah di akhirat itu apa yang telah mereka usahakan di dunia dan sia-sialah apa yang telah mereka kerjakan",id,Unlicense (aggregator); translator=King Fahd Complex; source approved as government/waqf body
quran:12:93,quran,ٱذهبوا بقميصي هذا فالقوه على وجه ابي يات بصير ا واتوني باهلكم اجمعين,"Pergilah kamu dengan membawa bajuku ini, lalu usapkan ke wajah ayahku, nanti dia akan melihat kembali; dan bawalah seluruh keluargamu kepadaku",id,Unlicense (aggregator); translator=Indonesian Islamic Affairs Ministry; source approved as government/waqf body
quran:26:137,quran,ان هذا الا خلق ٱلاولين,(agama kami) ini tidak lain hanyalah adat kebiasaan orang dahulu,id,Unlicense (aggregator); translator=King Fahd Complex; source approved as government/waqf body
quran:14:9,quran,الم ياتكم نبوا ٱلذين من قبلكم قوم نوح وعاد وثمود وٱلذين من بعدهم لا يعلمهم الا ٱلله جاءتهم رسلهم بٱلبينت فردوا ايديهم في افوههم وقالوا انا كفرنا بما ارسلتم به وانا لفي شك مما تدعوننا اليه مريب‏,"Belumkah sampai kepadamu berita orang-orang sebelum kamu (yaitu) kaum Nūḥ, ‘Ād, Ṡamūd dan orang-orang sesudah mereka. Tidak ada yang mengetahui mereka selain Allah. Telah datang rasul-rasul kepada mereka (membawa) bukti-bukti yang nyata, lalu mereka menutupkan tangannya ke mulutnya (karena kebencian) dan berkata, ""Sesungguhnya kami mengingkari apa yang kamu disuruh menyampaikannya (kepada kami) dan sesungguhnya kami benar-benar dalam keragu-raguan yang menggelisahkan terhadap apa yang kamu ajak kami kepadanya",id,Unlicense (aggregator); translator=King Fahd Complex; source approved as government/waqf body
quran:16:93,quran,ولو شاء ٱلله لجعلكم امة وحدة ولكن يضل من يشاء ويهدي من يشاء ولتسلن عما كنتم تعملون,"Dan kalau Allah menghendaki, niscaya Dia menjadikan kamu satu umat (saja), tetapi Allah menyesatkan siapa yang dikehendaki-Nya dan memberi petunjuk kepada siapa yang dikehendaki-Nya. Dan sesungguhnya kamu akan ditanya tentang apa yang telah kamu kerjakan",id,Unlicense (aggregator); translator=King Fahd Complex; source approved as government/waqf body
quran:56:78,quran,في كتب مكنون‏,dalam Kitab yang terpelihara (Lauḥ Maḥfūẓ),id,Unlicense (aggregator); translator=Indonesian Islamic Affairs Ministry; source approved as government/waqf body
quran:14:13,quran,وقال ٱلذين كفروا لرسلهم لنخرجنكم من ارضنا او لتعودن في ملتنا فاوحى اليهم ربهم لنهلكن ٱلظلمين,"Dan orang-orang kafir berkata kepada rasul-rasul mereka, ""Kami pasti akan mengusir kamu dari negeri kami atau kamu benar-benar kembali kepada agama kami."" Maka Tuhan mewahyukan kepada mereka, ""Kami pasti akan membinasakan orang yang zalim itu",id,Unlicense (aggregator); translator=Indonesian Islamic Affairs Ministry; source approved as government/waqf body
quran:56:27,quran,واصحب ٱليمين ما اصحب ٱليمين,"Dan golongan kanan, alangkah mulianya golongan kanan itu",id,Unlicense (aggregator); translator=Indonesian Islamic Affairs Ministry; source approved as government/waqf body
quran:6:102,quran,ذلكم ٱلله ربكم لا اله الا هو خلق كل شيء فٱعبدوه وهو على كل شيء وكيل‏,"Itulah Allah, Tuhan kamu; tidak ada tuhan selain Dia; Pencipta segala sesuatu, maka sembahlah Dia; Dialah Pemelihara segala sesuatu",id,Unlicense (aggregator); translator=Indonesian Islamic Affairs Ministry; source approved as government/waqf body
quran:27:81,quran,وما انت بهدي ٱلعمي عن ضللتهم ان تسمع الا من يومن بايتنا فهم مسلمون,"Dan engkau tidak akan dapat memberi petunjuk orang buta dari kesesatannya. Engkau tidak dapat menjadikan (seorang pun) mendengar, kecuali orang-orang yang beriman kepada ayat-ayat Kami, lalu mereka berserah diri",id,Unlicense (aggregator); translator=Indonesian Islamic Affairs Ministry; source approved as government/waqf body
quran:95:4,quran,لقد خلقنا ٱلانسن في احسن تقويم‏,sesungguhnya Kami telah menciptakan manusia dalam bentuk yang sebaik-baiknya,id,Unlicense (aggregator); translator=King Fahd Complex; source approved as government/waqf body
quran:77:12,quran,لاي يوم اجلت,"(Niscaya dikatakan kepada mereka), ""Sampai hari apakah ditangguhkan (azab orang-orang kafir itu)",id,Unlicense (aggregator); translator=Indonesian Islamic Affairs Ministry; source approved as government/waqf body
quran:26:207,quran,ما اغنى عنهم ما كانوا يمتعون,niscaya tidak berguna bagi mereka apa yang mereka selalu menikmatinya,id,Unlicense (aggregator); translator=King Fahd Complex; source approved as government/waqf body
