ref,domain,ar,tgt,tgt_lang,license
hadeethenc:10113,hadith,عن عائشة رضي الله عنها قالت: قال رسول الله صلى الله عليه وسلم: «الماهر بالقران مع السفرة الكرام البررة، والذي يقرا القران ويتتعتع فيه، وهو عليه شاق، له اجران».,"‘Ā’ishah (may Allah be pleased with her) reported: The Messenger of Allah (may Allah's peace and blessings be upon him) said: ""The proficient reciter of the Qur’an will be with the noble and obedient angel-scribes, and the one who recites the Qur’an stutteringly and finds it difficult will have two rewards.""",en,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:3353,hadith,"عن عبد الله بن مسعود رضي الله عنه قال: ""لان احلف بالله كاذبا احب الي من ان احلف بغيره صادقا"".","‘Abdullāh ibn Mas‘ūd (may Allah be pleased with him) said: ""To swear by Allah even if I were telling a lie is dearer to me than to swear by other than Him even if I were telling the truth.""",en,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:58138,hadith,"عن ابن عباس، قال: ""كان الطلاق على عهد رسول الله صلى الله عليه وسلم ، وابي بكر، وسنتين من خلافة عمر، طلاق الثلاث واحدة، فقال عمر بن الخطاب: ان الناس قد استعجلوا في امر قد كانت لهم فيه اناة، فلو امضيناه عليهم، فامضاه عليهم"".","Ibn ‘Abbās (may Allah be pleased with him) reported: The (pronouncement) of three divorces during the lifetime of the Messenger of Allah (may Allah's peace and blessings be upon him) and that of Abu Bakr and two years of the caliphate of ‘Umar (was treated) as one. Then ‘Umar ibn al-Khattāb said: ""Indeed, people hasten to a matter in which they used to act with deliberation. So if we would count them as three divorces,"" and he did that.",en,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:3033,hadith,عن ابي هريرة رضي الله عنه ان رسول الله صلى الله عليه وسلم قال: «اذا توضا احدكم فليجعل في انفه ثم لينثر، ومن استجمر فليوتر، واذا استيقظ احدكم من نومه فليغسل يده قبل ان يدخلها في وضوئه، فان احدكم لا يدري اين باتت يده». ولفظ مسلم: «اذا استيقظ احدكم من نومه فلا يغمس يده في الاناء حتى يغسلها ثلاثا، فانه لا يدري اين باتت يده».,"Abu Hurayrah (may Allah be pleased with him) reported that the Messenger of Allah (may Allah's peace and blessings be upon him) said: ""When any of you performs ablution, let him sniff water in his nose and then blow it out. Whoever cleans his private parts with stones, let him do so with an odd number of stones. Whoever wakes up from his sleep, let him wash his hand before putting it in the water container of ablution, for none of you knows where his hand was during his sleep."" The wording of Muslim reads: ""Whoever wakes up from his sleep, let him not put his hand in the water container until he washes it three times, for he does not know where his hand was during his sleep.""",en,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:5735,hadith,عن ابي بكرة رضي الله عنه : ان رجلا ذكر عند النبي صلى الله عليه وسلم فاثنى عليه رجل خيرا، فقال النبي صلى الله عليه وسلم : «ويحك! قطعت عنق صاحبك» يقوله مرارا: «ان كان احدكم مادحا لا محالة فليقل: احسب كذا وكذا ان كان يرى انه كذلك وحسيبه الله، ولا يزكى على الله احد».,"Abu Bakrah (may Allah be pleased with him) reported that a man was mentioned in the presence of the Prophet (may Allah's peace and blessings be upon him) and another man praised him. So the Prophet (may Allah's peace and blessings be upon him) said: “Woe unto you! You have cut the neck of your companion,” repeating it several times. Then he said: “If one of you has to praise (another), let him say: ‘I reckon him to be as such and such' if he sees him to be like that, and Allah is the One Who will take account of him. No one can testify the purity of others against Allah.""",en,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:5775,hadith,عن ابن عباس رضي الله عنهما قال: «بينما جبريل قاعد عند النبي صلى الله عليه وسلم سمع نقيضا من فوقه، فرفع راسه، فقال: هذا باب من السماء فتح اليوم لم يفتح قط الا اليوم، فنزل منه ملك، فقال: هذا ملك نزل الى الارض لم ينزل قط الا اليوم، فسلم، وقال: ابشر بنورين اوتيتهما لم يؤتهما نبي قبلك: فاتحة الكتاب، وخواتيم سورة البقرة، لن تقرا بحرف منهما الا اعطيته».,"Ibn ‘Abbās (may Allah be pleased with him and his father) reported: ""As Gabriel (Jibrīl) was sitting with the Prophet (may Allah's peace and blessings be upon him), he heard a creak from above. So, he raised his head and said: That is a gate in the heavens that was opened today; it has never been opened except today. An angel descended from it. He said: That is an angel that descended to earth; he has never descended except today. He gave the greeting of peace and said: Have glad tidings with two lights that have been given to you, which no prophet before you has been given: Surat al-Fātihah and the concluding verses of Surat al-Baqarah. You will not read one letter of them except that you will be given it.""",en,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:5731,hadith,عن ابي الشعثاء، قال: كنا قعودا مع ابي هريرة رضي الله عنه في المسجد، فاذن المؤذن، فقام رجل من المسجد يمشي، فاتبعه ابو هريرة بصره حتى خرج من المسجد، فقال ابو هريرة: اما هذا فقد عصى ابا القاسم صلى الله عليه وسلم .,"Abu Ash-Sha‘thā' reported: As we were sitting in the mosque with Abu Hurayrah (may Allah be pleased with him) the Muezzin proclaimed the Adhān and then a man stood up in the mosque and started walking out. Abu Hurayrah followed him with his eyes until he went out of the mosque. Thereupon, Abu Hurayrah said: ""As for this man, he has disobeyed the Prophet (may Allah’s peace and blessings be upon him).""",en,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:3745,hadith,عن اسامة رضي الله عنه عن النبي صلى الله عليه وسلم قال: «قمت على باب الجنة، فاذا عامة من دخلها المساكين، واصحاب الجد محبوسون، غير ان اصحاب النار قد امر بهم الى النار، وقمت على باب النار فاذا عامة من دخلها النساء».,"Usāmah ibn Zayd (may Allah be pleased with him) reported that the Prophet (may Allah's peace and blessings be upon him) said: ""I stood at the gate of Paradise and saw that most of those who entered it were the poor and destitute. The people of means were held back, whilst the people of Hell had been ordered into the Fire. I stood by the gate of Hell, and saw that most of those who entered it were women.""",en,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:3046,hadith,"عن عائشة رضي الله عنها قالت: ""ان ام حبيبة استحيضت سبع سنين، فسالت رسول الله صلى الله عليه وسلم عن ذلك؟ فامرها ان تغتسل، قالت: فكانت تغتسل لكل صلاة"".","‘Ā’ishah (may Allah be pleased with her) reported: Umm Habībah had non-menstrual vaginal bleeding for seven years. She asked the Messenger of Allah (may Allah's peace and blessings be upon him) about that, and he ordered her to take a ritual bath. ‘Ā’ishah said: ""She used to take a ritual bath for every prayer.”",en,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:8292,hadith,عن يعلى بن امية رضي الله عنه ان رسول الله صلى الله عليه وسلم راى رجلا يغتسل بالبراز بلا ازار، فصعد المنبر، فحمد الله واثنى عليه، ثم قال صلى الله عليه وسلم: «ان الله عز وجل حيي ستير، يحب الحياء والستر؛ فاذا اغتسل احدكم فليستتر».,"Ya‘la ibn Umayyah (may Allah be pleased with him) reported that the Messenger of Allah (may Allah's peace and blessings be upon him) saw a man bathing in an open area without a lower garment. So he mounted the pulpit, praised and extolled Allah, and said: ""Verily, Allah, Glorified and Exalted, is characterized by modesty and concealment, and He loves modesty and concealment. Therefore, when any of you bathes, let him conceal himself.""",en,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
