ref,domain,ar,tgt,tgt_lang,license
hadeethenc:5818,hadith,عن جابر رضي الله عنه قال: انا كنا يوم الخندق نحفر فعرضت كدية شديدة، فجاؤوا الى النبي صلى الله عليه وسلم فقالوا: هذه كدية عرضت في الخندق. فقال: «انا نازل» ثم قام، وبطنه معصوب بحجر، ولبثنا ثلاثة ايام لا نذوق ذواقا، فاخذ النبي صلى الله عليه وسلم المعول، فضرب فعاد كثيبا اهيل او اهيم، فقلت: يا رسول الله ائذن لي الى البيت، فقلت لامراتي: رايت بالنبي صلى الله عليه وسلم شيئا ما في ذلك صبر فعندك شيء؟ فقالت: عندي شعير وعناق، فذبحت العناق وطحنت الشعير حتى جعلنا اللحم في البرمة، ثم جئت النبي صلى الله عليه وسلم والعجين قد انكسر، والبرمة بين الاثافي قد كادت تنضج، فقلت: طعيم لي فقم انت يا رسول الله ورجل او رجلان، قال: «كم هو»؟ فذكرت له، فقال: «كثير طيب قل لها لا تنزع البرمة، ولا الخبز من التنور حتى اتي» فقال: «قوموا»، فقام المهاجرون والانصار، فدخلت عليها فقلت: ويحك قد جاء النبي صلى الله عليه وسلم والمهاجرون والانصار ومن معهم! قالت: هل سالك؟ قلت: نعم، قال: «ادخلوا ولا تضاغطوا» فجعل يكسر الخبز، ويجعل عليه اللحم، ويخمر البرمة والتنور اذا اخذ منه، ويقرب الى اصحابه ثم ينزع، فلم يزل يكسر ويغرف حتى شبعوا، وبقي منه، فقال: «كلي هذا واهدي، فان الناس اصابتهم مجاعة». وفي رواية قال جابر: لما حفر الخندق رايت بالنبي صلى الله عليه وسلم خمصا، فانكفات الى امراتي، فقلت: هل عندك شيء؟ فاني رايت برسول الله صلى الله عليه وسلم خمصا شديدا، فاخرجت الي جرابا فيه صاع من شعير، ولنا بهيمة داجن فذبحتها، وطحنت الشعير، ففرغت الى فراغي، وقطعتها في برمتها، ثم وليت الى رسول الله صلى الله عليه وسلم فقالت: لا تفضحني برسول الله صلى الله عليه وسلم ومن معه، فجئته فساررته، فقلت: يا رسول الله، ذبحنا بهيمة لنا، وطحنت صاعا من شعير، فتعال انت ونفر معك، فصاح رسول الله صلى الله عليه وسلم فقال: «يا اهل الخندق: ان جابرا قد صنع سؤرا فحيهلا بكم» فقال النبي صلى الله عليه وسلم : «لا تنزلن برمتكم ولا تخبزن عجينكم حتى اجيء» فجئت وجاء النبي صلى الله عليه وسلم يقدم الناس، حتى جئت امراتي، فقالت: بك وبك! فقلت: قد فعلت الذي قلت. فاخرجت عجينا، فبسق فيه وبارك، ثم عمد الى برمتنا فبصق وبارك، ثم قال: «ادعي خابزة فلتخبز معك، واقدحي من برمتكم، ولا تنزلوها» وهم الف، فاقسم بالله لاكلوا حتى تركوه وانحرفوا، وان برمتنا لتغط كما هي، وان عجيننا ليخبز كما هو.,"Jâbir (qu'Allah l'agrée) a dit : « Alors que nous creusions, le jour de la tranchée, un sol très dur se présenta. Ils se rendirent alors auprès du Prophète (sur lui la paix et le salut) et lui dirent : « Un sol très dur s'est présenté dans la tranchée ! - Il dit alors : Je vais y descendre ! » Il se leva. Son ventre était enserré par une pierre. Cela faisait trois jours que nous n'avions rien mangé ! Le Prophète (sur lui la paix et le salut) prit alors la pioche, frappa le sol et d'un coup, la terre devint molle comme du sable ! Je lui demandai : « Ô Messager d'Allah ! Permets-moi d'aller chez moi ! » J'ai alors dit à ma femme : « J'ai vu le Prophète (sur lui la paix et le salut) dans un état insoutenable ! As-tu quelque chose à manger ? - J'ai de l'orge et une chevrette ! », Répondit-elle. J'ai alors égorgé la petite chèvre, ma femme a moulu l'orge, et nous mîmes la viande à cuire. Puis, je suis revenu voir le Prophète (sur lui la paix et le salut) alors que la pâte d'orge était déjà levée, et la viande presque à point, dans une marmite, soutenue par trois pierres, sur le feu. J'ai dit : « J'ai un petit repas, viens donc ô Messager d'Allah ! Et invite une ou deux personnes avec toi ! - Quelle quantité est-ce ?, me demanda-t-il. Je lui décrivis alors la quantité. C'est très bon et largement suffisant ! dit-il. Va dire à ta femme de ne pas retirer la marmite ni le pain du feu jusqu'à mon arrivée ! Puis, il a dit : Levez-vous ! » Alors, les Muhâjirûn et les Anṣâr se levèrent. Je revins chez moi et ma femme s'exclama : « Malheur à toi ! Le Prophète (sur lui la paix et le salut) est venu avec les Muhâjirûn, les Anṣâr et ceux qui étaient avec eux ! - Est-ce qu'il t'a interrogé [à propos du repas] ?, demanda-t-elle. - Oui, répondis-je. » Le Prophète (sur lui la paix et le salut) arriva et dit aux invités : « Entrez sans vous bousculer ! » Il coupa le pain et posa dessus de la viande, puis il couvrit la marmite et le four. Il rapprocha alors ses Compagnons et les servit. Il ne cessa de répéter cela jusqu'à ce qu'ils fussent tous rassasiés, et il en resta encore. [Jâbir a dit] Le Prophète (sur lui la paix et le salut) a alors dit à ma femme : « Manges-en et offres-en, car les gens ont été touchés par la famine ! » Et dans une [autre] version, Jâbir a dit : « Lorsque le fossé fut creusé, je vis que le Prophète (sur lui la paix et le salut) avait faim. Je me rendis auprès de mon épouse et lui demandai : "" As-tu quelque chose chez toi ? J'ai vu que le Messager d'Allah (sur lui la paix et le salut) avait très faim. "" Elle me sortit un sac contenant un Ṣâ' d'orge. Nous disposions aussi d'une petite bête : une chevrette [qui ne sortait pas encore au pré]. Je l’égorgeai tandis qu'elle moulait le grain. Elle termina en même temps que moi. Je coupai la viande en morceaux que je mis dans la marmite. Puis, je m’en retournai auprès du Messager d'Allah (sur lui la paix et le salut). Elle dit alors : « Ne me couvre pas de honte en amenant le Messager d'Allah (sur lui la paix et le salut) et ceux qui sont avec lui ! » Je me rendis alors auprès de lui et lui glissait secrètement : « Ô Messager d'Allah ! Nous avons égorgé une petite bête et mon épouse a moulu un Ṣâ' d'orge que nous avions. Viens donc avec le groupe qui est avec toi ! » Mais, le Messager d'Allah (sur lui la paix et le salut) s'écria : « Ô gens de la tranchée ! Jâbir vous a préparé à manger ! Allez-y ! » Le Messager d'Allah (sur lui la paix et le salut) ajouta alors : « N'enlevez pas votre marmite du feu et ne mettez pas votre pâte au four avant que j'arrive ! » Je vins et le Messager d'Allah (sur lui la paix et le salut) arriva devant des gens. Quand j'allai trouver mon épouse, elle me dit : « Tu as fait ceci et cela ! - Je répliquai : J'ai fait ce que tu m'as dit. » Elle montra la pâte au Messager d'Allah (sur lui la paix et le salut) qui crachota dedans et y appela la bénédiction. Puis, il se dirigea vers notre marmite, crachota aussi dedans et y mit la bénédiction. Ensuite, il a dit : « Appelle une boulangère pour qu'elle t'aide à faire le pain et puise de votre marmite sans la descendre du feu ! » Ils étaient mille. Je jure par Allah qu'ils mangèrent si bien qu'ils en laissèrent et s'en allèrent. Notre marmite était encore en ébullition comme au début et notre pâte était intacte dans le four ! »",fr,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:8889,hadith,عن ابي هريرة رضي الله عنه قال: بعثنا رسول الله صلى الله عليه وسلم في بعث، فقال: «ان وجدتم فلانا وفلانا» لرجلين من قريش سماهما «فاحرقوهما بالنار» ثم قال رسول الله صلى الله عليه وسلم حين اردنا الخروج: «اني كنت امرتكم ان تحرقوا فلانا وفلانا، وان النار لا يعذب بها الا الله، فان وجدتموهما فاقتلوهما».,"Abû Hurayrah (qu’Allah l’agrée) relate : « Le Messager d’Allah (sur lui la paix et le salut) nous envoya en mission et dit : « Si vous trouvez untel et untel », à propos de deux hommes de Quraysh qu’il nomma, « brûlez-les par le feu ! ». Puis, une fois sur le départ, le Messager d’Allah (sur lui la paix et le salut) dit : « Je vous avais certes ordonné de brûler untel et untel, mais il n’y a qu’Allah qui peut châtier avec le feu. Si vous les retrouvez, tuez-les tous les deux ! ».",fr,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:4491,hadith,عن ابي شريح -خويلد بن عمرو الخزاعي العدوي رضي الله عنه-: انه قال لعمرو بن سعيد بن العاص -وهو يبعث البعوث الى مكة- ائذن لي ايها الامير ان احدثك قولا قام به رسول الله صلى الله عليه وسلم الغد من يوم الفتح؛ فسمعته اذناي ، ووعاه قلبي، وابصرته عيناي حين تكلم به انه حمد الله واثنى عليه، ثم قال: «ان مكة حرمها الله تعالى، ولم يحرمها الناس، فلا يحل لامرئ يؤمن بالله واليوم الاخر: ان يسفك بها دما، ولا يعضد بها شجرة، فان احد ترخص بقتال رسول الله صلى الله عليه وسلم فقولوا: ان الله اذن لرسوله ولم ياذن لكم. وانما اذن لي ساعة من نهار، وقد عادت حرمتها اليوم كحرمتها بالامس، فليبلغ الشاهد الغائب». فقيل لابي شريح: ما قال لك؟ قال: انا اعلم بذلك منك يا ابا شريح، ان الحرم لا يعيذ عاصيا، ولا فارا بدم، ولا فارا بخربة.,"Abû Shurayḥ Khuwaylid ibn ‘Amr al-Khuzâ’î al-‘Adawî (qu’Allah l’agrée) a dit à ‘Amr ibn Sa’îd ibn Al-‘Âṣ (qu’Allah l’agrée), alors qu’il envoyait des troupes militaires à La Mecque : « Ô Emir ! Puis-je te rapporter des propos tenus par le Messager d’Allah (sur lui la paix et le salut) le lendemain de la conquête de La Mecque ? Ce sont des propos que mes oreilles ont bien entendu, que mon cœur a bien retenu et que mes yeux ont bien vu lorsqu’il les a prononcés. Certes, il a loué Allah et a fait Son éloge, puis il a dit : « C’est Allah, Exalté soit-Il, qui a rendu sacrée La Mecque et non les hommes. Il n’est donc pas permis à quiconque croit en Allah et au Jour Dernier d’y faire couler le sang, ni d’y couper un arbre. Si quelqu’un se l’autorise en invoquant le combat que le Messager d’Allah (sur lui la paix et le salut) y a livré, alors répondez-lui : « Certes, Allah l’a permis à Son Messager (sur lui la paix et le salut) et Il ne vous l’a pas permis à vous ! » Et Il ne me l’a permis qu’un instant de la journée. Aujourd’hui, elle a certes retrouvé son caractère sacré d’hier. Par conséquent, que la personne présente en informe la personne absente ! » On demanda alors à Abû Shurayḥ : Que t’a répondu ‘Amr ? » Il a répliqué : « Je connais cela mieux que toi, ô Abâ Shurayḥ ! Certes, la ville sacrée ne protège ni la personne désobéissante, ni l’assassin fugitif, ni le voleur fugitif ! »",fr,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:5373,hadith,عن عبد الله بن عمرو بن العاص رضي الله عنهما ان رسول الله صلى الله عليه وسلم قال: «من الكبائر شتم الرجل والديه» قيل: وهل يسب الرجل والديه؟ قال: «نعم، يسب ابا الرجل فيسب اباه، ويسب امه، فيسب امه».,"ʽAbdullah ibn ʽAmr ibn Al-ʽÂṣ (qu'Allah l'agrée, lui et son père) relate que le Messager d'Allah (sur lui la paix et le salut) a dit : « Parmi les grands péchés figure le fait qu'un homme insulte ses parents. - On a dit : Un homme peut-il insulter ses parents ? - Il répondit : Oui ! Il insulte le père d'un homme qui à son tour insulte le sien ; et il insulte la mère d'un autre qui en réponse insulte la sienne. »",fr,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:3118,hadith,عن ابي موسى الاشعري رضي الله عنه ان النبي صلى الله عليه وسلم قال: «لياتين على الناس زمان يطوف الرجل فيه بالصدقة من الذهب فلا يجد احدا ياخذها منه، ويرى الرجل الواحد يتبعه اربعون امراة يلذن به من قلة الرجال وكثرة النساء».,"Abû Mûsâ Al-Ash’arî (qu’Allah l’agrée) relate que le Messager d’Allah (sur lui la paix et le salut) a dit : « Il viendra certes aux gens un temps où l’homme tournera, cherchant à donner de l’or en aumône, sans trouver quiconque pour la prendre. On verra aussi l’homme être suivi de quarante femmes, toutes cherchant refuge auprès de lui à cause de la rareté des hommes et l’abondance de femmes. »",fr,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:3377,hadith,"عن عبد الله ابن عباس رضي الله عنهما كان عمر رضي الله عنه يدخلني مع اشياخ بدر فكان بعضهم وجد في نفسه، فقال: لم يدخل هذا معنا ولنا ابناء مثله؟! فقال عمر: انه من حيث علمتم! فدعاني ذات يوم فادخلني معهم فما رايت انه دعاني يومئذ الا ليريهم، قال: ما تقولون في قول الله:(اذا جاء نصر الله والفتح)، [الفتح: 1]، فقال بعضهم: امرنا نحمد الله ونستغفره اذا نصرنا وفتح علينا، وسكت بعضهم فلم يقل شيئا، فقال لي: اكذلك تقول يا ابن عباس؟ فقلت: لا، قال: فما تقول؟ قلت: هو اجل رسول الله صلى الله عليه وسلم اعلمه له، قال: ""اذا جاء نصر الله والفتح"" وذلك علامة اجلك، ""فسبح بحمد ربك واستغفره انه كان توابا"" فقال عمر رضي الله عنه : ما اعلم منها الا ما تقول.","‘Abdullah ibn ‘Abbâs (qu'Allah l'agrée, lui et son père) relate : ‘Umar (qu’Allah l’agrée) me faisait participer aux réunions avec les anciens de la bataille de Badr. C'est comme si certains d'entre-eux étaient atteints du fait de m'y voir, ils objectèrent : « Pourquoi fait-il siéger ce jeune garçon avec nous, alors que nous avons des enfants de son âge ? » ‘Umar (qu’Allah l’agrée) répondit : « Pour ce que vous savez ! » Un jour, ‘Umar (qu’Allah l’agrée) les réunit tous, ainsi que moi-même, afin de leur prouver mes compétences. Une fois tous présents, il leur demanda : « Que dites-vous au sujet de l’interprétation de la parole d’Allah : {( Lorsque vient le secours d’Allah ainsi que la victoire… )} ? » [Coran : 110/1]. Certains répondirent : « Allah nous ordonne de Le louer et de Lui demander pardon lorsqu’Il nous secoure et nous accorde la victoire. » Les autres restèrent silencieux. Alors, ‘Umar (qu’Allah l’agrée) me demanda : « Est-ce aussi ton point de vue, ô Ibn ‘Abbâs ? » Je répondis : « Non ! » Alors, ‘Umar (qu’Allah l’agrée) me demanda : « Quelle serait donc ton interprétation ? » Je répondis : « C’est l’annonce du terme de la vie du Messager d’Allah (sur lui la paix et le salut). Allah le lui a annoncé en disant : {( Lorsque vient le secours d’Allah ainsi que la victoire… )}, cela sera ton terme, ainsi donc par la louange : {… célèbre la gloire de ton Seigneur et implore Son pardon. Car, certes, c’est Lui le grand Accueillant au repentir. )}. ‘Umar (qu’Allah l’agrée) dit alors : « Je ne connais pas d’autre interprétation de cette sourate que ce que tu dis ! »",fr,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:6264,hadith,عن عثمان بن عفان رضي الله عنه قال: رايت رسول الله صلى الله عليه وسلم توضا مثل وضوئي هذا، ثم قال: «من توضا هكذا، غفر له ما تقدم من ذنبه، وكانت صلاته ومشيه الى المسجد نافلة».,"Uthmân ibn 'Affân (qu'Allah l'agrée) a dit : « J'ai vu le Messager d'Allah (sur lui la paix et le salut) faire ses ablutions de la même façon que mes ablutions-ci. Puis, il a dit : "" Quiconque accomplit ses ablutions ainsi, ses péchés antérieurs lui seront pardonnés. En outre, sa prière et sa marche en direction de la mosquée lui seront [comptés comme] des actes surérogatoires. "" »",fr,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:5392,hadith,عن جابر بن عبد الله رضي الله عنهما «ان معاذ بن جبل: كان يصلي مع رسول الله صلى الله عليه وسلم العشاء الاخرة، ثم يرجع الى قومه، فيصلي بهم تلك الصلاة ...». وفي رواية: ان النبي صلى الله عليه وسلم قال لمعاذ: «فلولا صليت بسبح اسم ربك الاعلى، والشمس وضحاها، والليل اذا يغشى، فانه يصلي وراءك الكبير والضعيف وذو الحاجة».,"Jâbir ibn ʽAbdillah (qu'Allah l'agrée, lui et son père) relate : « Muʽâdh ibn Jabal priait avec le Messager d'Allah (sur lui la paix et le salut) la prière de la nuit, puis s'en retournait auprès de son peuple afin de présider cette même prière... » Dans une autre version : « Le Prophète (sur lui la paix et le salut) dit à Muʽâdh : "" Et si tu priais en récitant les sourates {( Glorifie le Nom de ton Seigneur Le Très-Haut )}, {( Par le soleil et par sa clarté ! )} ainsi que {( Par la nuit quand elle enveloppe tout ! )} ? Car derrière toi, au sein des fidèles, se trouvent le vieillard, le faible et celui qui est occupé. "" »",fr,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:6023,hadith,عن عبدالله بن عمر رضي الله عنهما ان النبي صلى الله عليه وسلم عامل اهل خيبر بشطر ما يخرج منها من ثمر او زرع.,"Abdallah ibn 'Omar (qu'Allah l'agrée, lui et son père) relate que le Prophète (sur lui la paix et le salut) a fait travailler la terre de Khaybar par ses gens en contrepartie de la moitié de sa production en fruits et céréales.",fr,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:4293,hadith,عن عائشة رضي الله عنها قالت: خرج رسول الله صلى الله عليه وسلم ذات غداة، وعليه مرط مرحل من شعر اسود.,"ʽÂ’ishah (qu'Allah l'agrée) relate : « Un matin, le Messager d'Allah (sur lui la paix et le salut) sortit vêtu d'un manteau qui comportait des motifs que l'on trouve sur les selles et fait de poils noirs. »",fr,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
