ref,domain,ar,tgt,tgt_lang,license
hadeethenc:3038,hadith,عن ابن عباس رضي الله عنهما قال: «قال النبي صلى الله عليه وسلم لجبريل: «ما يمنعك ان تزورنا اكثر مما تزورنا؟» فنزلت: (وما نتنزل الا بامر ربك له ما بين ايدينا وما خلفنا وما بين ذلك ).,"Dari Ibnu Abbas -raḍiyallāhu 'anhuma-, dia berkata, ""Nabi Muhammad -ṣallallāhu 'alaihi wa sallam- bertanya kepada Jibril, ""Apa yang menghalangimu untuk mengunjungi kami lebih dari biasanya engkau berkunjung kepada kami?"" Lantas turunlah ayat, ""Dan tidaklah kami (Jibril) turun, kecuali atas perintah Rabbmu. Milik-Nya segala yang ada di hadapan kita, yang ada di belakang kita dan segala yang ada di antara keduanya.""",id,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:3284,hadith,عن ابي هريرة رضي الله عنه ان رسول الله صلى الله عليه وسلم قال: «اذا توضا العبد المسلم -او المؤمن- فغسل وجهه خرج من وجهه كل خطيئة نظر اليها بعينيه مع الماء -او مع اخر قطر الماء-، فاذا غسل يديه خرج من يديه كل خطيئة كان بطشتها يداه مع الماء -او مع اخر قطر الماء-، فاذا غسل رجليه خرجت كل خطيئة مشتها رجلاه مع الماء -او مع اخر قطر الماء- حتى يخرج نقيا من الذنوب».,"Abu Hurairah -raḍiyallāhu 'anhu- meriwayatkan bahwa Rasulullah ﷺ bersabda, ""Apabila seorang muslim -atau mukmin- berwudu, lalu membasuh wajahnya, maka akan keluar dari wajahnya setiap dosa akibat pandangan kedua matanya bersamaan dengan air itu -atau bersama tetesan air yang terakhir-. Lalu jika dia membasuh kedua tangannya, akan keluarlah setiap dosa akibat perbuatan yang dilakukan kedua tangannya bersamaan dengan air itu -atau bersama tetesan air yang terakhir-. Lalu jika ia membasuh kedua kaki, akan keluarlah setiap dosa akibat langkah kedua kakinya bersamaan dengan air itu -atau bersama tetesan air yang terakhir-. Sehingga ia selesai (dari wudu) dalam keadaan bersih dari dosa.”",id,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:8300,hadith,عن ابي سعيد الخدري رضي الله عنه ان رجلا اتى النبي صلى الله عليه وسلم فقال: اخي يشتكي بطنه، فقال: «اسقه عسلا» ثم اتى الثانية، فقال: «اسقه عسلا» ثم اتاه الثالثة فقال: «اسقه عسلا» ثم اتاه فقال: قد فعلت؟ فقال: «صدق الله، وكذب بطن اخيك، اسقه عسلا» فسقاه فبرا.,"Dari Abu Sa'd Al-Khudri -raḍiyallāhu 'anhu- bahwa seorang lelaki datang kepada Nabi -ṣallallāhu 'alaihi wa sallam- lalu berkata, ""Saudaraku mengeluhkan perutnya."" Beliau bersabda, ""Beri dia minum madu!"" Orang itu datang lagi. Beliau bersabda, ""Beri dia minum madu!"" Orang itu datang untuk ketiga kalinya. Beliau pun bersabda, ""Beri dia minum madu!"" Orang itu datang lagi dan berkata, ""Aku sudah melakukannya."" Beliau bersabda, ""Allah Maha Benar. Sedangkan perut saudaramu berdusta. Berilah dia minum madu!"" Orang itu pun memberinya minum madu lalu sembuh.""",id,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:4968,hadith,عن ابي هريرة رضي الله عنه انه سمع رسول الله صلى الله عليه وسلم يقول: «ارايتم لو ان نهرا بباب احدكم يغتسل فيه كل يوم خمسا، ما تقول ذلك يبقي من درنه؟» قالوا: لا يبقي من درنه شيئا، قال: «فذلك مثل الصلوات الخمس، يمحو الله به الخطايا».,"Abu Hurairah -raḍiyallāhu 'anhu- meriwayatkan, dia mendengar Rasulullah ﷺ bersabda, ""Bagaimana menurut kalian, jika ada sebuah sungai di depan pintu salah satu di antara kalian lalu ia mandi di sana lima kali setiap hari. Apakah masih ada tersisa kotorannya?"" Para sahabat menjawab, ""Tidak akan tersisa kotorannya walau sedikit."" Beliau bersabda, ""Seperti itulah perumpamaan salat lima waktu, dengannya Allah menggugurkan kesalahan.""",id,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:2983,hadith,عن عمر بن الخطاب رضي الله عنه قال: «كانت اموال بني النضير: مما افاء الله على رسوله صلى الله عليه وسلم مما لم يوجف المسلمون عليه بخيل ولا ركاب وكانت لرسول الله خالصا، فكان رسول الله صلى الله عليه وسلم يعزل نفقة اهله سنة، ثم يجعل ما بقي في الكراع، والسلاح عدة في سبيل الله عز وجل ».,"Dari Umar bin Al-Khaṭṭāb -raḍiyallāhu 'anhu-, ia berkata, ""Harta benda Bani Naḍīr adalah fa`i (pemberian Allah) kepada Rasul-Nya -ṣallallāhu 'alaihi wa sallam- saat kaum Muslimin tidak memacu kuda dan kendaraan perang. Harta fa`i itu murni milik Rasulullah -ṣallallāhu 'alaihi wa sallam-. Maka beliau menyisihkan untuk nafkah keluarganya selama setahun, dan sisanya untuk tungganggan dan peralatan perang di jalan Allah.""",id,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:5818,hadith,عن جابر رضي الله عنه قال: انا كنا يوم الخندق نحفر فعرضت كدية شديدة، فجاؤوا الى النبي صلى الله عليه وسلم فقالوا: هذه كدية عرضت في الخندق. فقال: «انا نازل» ثم قام، وبطنه معصوب بحجر، ولبثنا ثلاثة ايام لا نذوق ذواقا، فاخذ النبي صلى الله عليه وسلم المعول، فضرب فعاد كثيبا اهيل او اهيم، فقلت: يا رسول الله ائذن لي الى البيت، فقلت لامراتي: رايت بالنبي صلى الله عليه وسلم شيئا ما في ذلك صبر فعندك شيء؟ فقالت: عندي شعير وعناق، فذبحت العناق وطحنت الشعير حتى جعلنا اللحم في البرمة، ثم جئت النبي صلى الله عليه وسلم والعجين قد انكسر، والبرمة بين الاثافي قد كادت تنضج، فقلت: طعيم لي فقم انت يا رسول الله ورجل او رجلان، قال: «كم هو»؟ فذكرت له، فقال: «كثير طيب قل لها لا تنزع البرمة، ولا الخبز من التنور حتى اتي» فقال: «قوموا»، فقام المهاجرون والانصار، فدخلت عليها فقلت: ويحك قد جاء النبي صلى الله عليه وسلم والمهاجرون والانصار ومن معهم! قالت: هل سالك؟ قلت: نعم، قال: «ادخلوا ولا تضاغطوا» فجعل يكسر الخبز، ويجعل عليه اللحم، ويخمر البرمة والتنور اذا اخذ منه، ويقرب الى اصحابه ثم ينزع، فلم يزل يكسر ويغرف حتى شبعوا، وبقي منه، فقال: «كلي هذا واهدي، فان الناس اصابتهم مجاعة». وفي رواية قال جابر: لما حفر الخندق رايت بالنبي صلى الله عليه وسلم خمصا، فانكفات الى امراتي، فقلت: هل عندك شيء؟ فاني رايت برسول الله صلى الله عليه وسلم خمصا شديدا، فاخرجت الي جرابا فيه صاع من شعير، ولنا بهيمة داجن فذبحتها، وطحنت الشعير، ففرغت الى فراغي، وقطعتها في برمتها، ثم وليت الى رسول الله صلى الله عليه وسلم فقالت: لا تفضحني برسول الله صلى الله عليه وسلم ومن معه، فجئته فساررته، فقلت: يا رسول الله، ذبحنا بهيمة لنا، وطحنت صاعا من شعير، فتعال انت ونفر معك، فصاح رسول الله صلى الله عليه وسلم فقال: «يا اهل الخندق: ان جابرا قد صنع سؤرا فحيهلا بكم» فقال النبي صلى الله عليه وسلم : «لا تنزلن برمتكم ولا تخبزن عجينكم حتى اجيء» فجئت وجاء النبي صلى الله عليه وسلم يقدم الناس، حتى جئت امراتي، فقالت: بك وبك! فقلت: قد فعلت الذي قلت. فاخرجت عجينا، فبسق فيه وبارك، ثم عمد الى برمتنا فبصق وبارك، ثم قال: «ادعي خابزة فلتخبز معك، واقدحي من برمتكم، ولا تنزلوها» وهم الف، فاقسم بالله لاكلوا حتى تركوه وانحرفوا، وان برمتنا لتغط كما هي، وان عجيننا ليخبز كما هو.,"Dari Jābir -raḍiyallāhu 'anhu-, ia berkata, ""Pada saat perang Khandaq, kami menggali parit tetapi terbentur tanah yang keras. Lantas para sahabat mendatangi Nabi -ṣallallāhu 'alaihi wa sallam- lalu berkata, ""Tanah ini keras sehingga menghalangi kami membuat parit."" Lantas beliau bersabda, ""Aku akan turun."" Lantas beliau berdiri sedangkan perutnya diikat batu. Sudah tiga hari kami tidak merasakan makanan. Nabi -ṣallallāhu 'alaihi wa sallam- mengambil cangkul dan mengayunkannya maka hancurlah tanah yang keras itu menjadi lembut. Kemudian aku berkata, ""Wahai Rasulullah, izinkanlah aku pulang ke rumah."" Aku bertanya kepada istriku, ""Aku lihat sesuatu pada Nabi -ṣallallāhu 'alaihi wa sallam - yang membuatku tidak sabar, apakah engkau mempunyai sesuatu?"" Istrinya menjawab, ""Aku mempunyai gandum dan seekor anak kambing."" Selanjutnya anak kambing itu aku sembelih dan istriku menumbuk gandum lalu daging kambing tersebut kami letakkan di kuali. Setelah itu aku mendatangi Nabi - ṣallallāhu 'alaihi wa sallam-, sedangkan adonan sudah retak (hampir matang) dan kuali (berisi daging) di atas batu hampir matang. Aku berkata, ""Aku mempunyai sedikit makanan, silakan engkau, wahai Rasulullah bersama satu atau dua orang untuk datang."" Beliau bertanya, ""Berapa banyak makanan itu?"" Lantas aku jelaskan kepada beliau. Beliau bersabda, ""Cukup banyak. Baiklah, katakan kepada istrimu agar dia tidak mengangkat kuali dan tidak mengangkat roti dari tungku sampai aku datang."" Beliau bersabda, ""Berdirilah kalian!"" Orang-orang Muhajirin dan Ansar pun berdiri. Aku menemui istriku lalu berkata, ""Celakalah engkau! Nabi -ṣallallāhu 'alaihi wa sallam- sudah datang bersama kaum Muhajirin, Ansar, dan orang-orang yang bersama mereka!"" Istrinya bertanya, ""Apakah beliau bertanya kepadamu?"" Aku jawab, ""Ya."" Beliau bersabda, ""Masuklah dan jangan saling berdesak-desakan!"" Lantas beliau membelah roti dan meletakan daging di atasnya serta menutupi kuali dan tungku saat mengambil darinya. Beliau mendekatkannya kepada para sahabatnya lalu menariknya. Beliau terus-menerus memecah roti dan mencelupkannya sampai para sahabat kenyang dan makanan masih tersisa."" Beliau bersabda (kepada istri Jābir), ""Santaplah makanan ini dan hadiahkan! Sesungguhnya orang-orang menderita kelaparan."" Dalam riwayat lain disebutkan bahwa Jābir berkata, ""Saat menggali parit, aku melihat Nabi -ṣallallāhu 'alaihi wa sallam- sangat lapar, lalu aku pulang ke istriku dan bertanya, ""Apakah engkau memiliki sesuatu? Sesungguhnya aku melihat Nabi -ṣallallāhu 'alaihi wa sallam- sangat lapar."" Lantas istriku mengeluarkan kantong berisi satu ṣā' gandum dan kami mempunyai seekor kambing yang jinak. Selanjutnya aku menyembelih kambing itu dan ia menumbuk gandum. Ia selesai ketika aku telah selesai juga, dan saya memotong-motong kambing itu di kuali. Kemudian aku pun pergi menemui Rasulullah -ṣallallāhu 'alaihi wa sallam-. Istriku berkata, ""Engkau jangan membuatku malu di hadapan Rasulullah -ṣallallāhu 'alaihi wa sallam- bersama para sahabatnya."" Aku pun mendatangi beliau dan berbisik kepadanya. Aku katakan, ""Wahai Rasulullah, kami sudah menyembelih kambing kami dan aku sudah menumbuk satu ṣa' gandum. Kemarilah engkau dan beberapa orang bersamamu!"" Tiba-tiba Rasulullah -ṣallallāhu 'alaihi wa sallam- berteriak, ""Wahai pasukan Khandaq, sesungguhnya Jābir sudah membuat hidangan untuk kalian. Marilah kita ke sana!"" Nabi -ṣallallāhu 'alaihi wa sallam- bersabda, ""Engkau jangan sekali-kali menurunkan kualimu dan memotong-motong rotimu sampai aku datang."" Aku datang dan Nabi -ṣallallāhu 'alaihi wa sallam- datang mendahului para sahabat. Aku mendatangi istriku. Ia berkata, ""Ini gara-gara engkau! Ini gara-gara engkau!"" Aku katakan, ""Aku sudah melakukan apa yang engkau pesankan."" Lantas aku keluarkan adonan roti lalu beliau meludah di dalamnya dan mendoakan keberkahan. Selanjutnya beliau menuju ke kuali kami lalu meludahinya dan mendoakan keberkahan. Selanjutnya beliau bersabda, ""Panggillah tukang roti lalu suruh dia membuat roti bersama kamu, dan nyalakan kuali kalian serta jangan kalian turunkan."" Padahal yang datang sebanyak seribu orang. Aku bersumpah demi Allah, ternyata mereka makan hingga mereka meninggalkannya (tersisa) dan pergi. Sementara itu kuali kami tetap penuh berisi seperti semula, dan adonan itu juga masih seperti sedia kala.""",id,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:8952,hadith,وعن السائب بن يزيد الصحابي رضي الله عنه قال: كنت في المسجد فحصبني رجل، فنظرت فاذا عمر بن الخطاب رضي الله عنه فقال: اذهب فاتني بهذين، فجئته بهما، فقال: من اين انتما؟ فقالا: من اهل الطائف، فقال: لو كنتما من اهل البلد، لاوجعتكما، ترفعان اصواتكما في مسجد رسول الله صلى الله عليه وسلم !,"Dari As-Sā`ib bin Yazid (seorang sahabat) -raḍiyallāhu 'anhu- berkata, ""Aku berada di masjid, lalu seseorang melempariku dengan kerikil, aku pun melihatnya. Ternyata ia adalah Umar bin Al-Khaṭṭāb -raḍiyallāhu 'anhu-, ia berkata, ""Pergilah lalu bawakan kepadaku dua orang itu."" Aku pun datang kepadanya dengan membawa dua orang tersebut."" Umar berkata, ""Dari mana kalian berdua?"" Keduanya menjawab, ""Kami penduduk Ṭaif."" Umar berkata, ""Seandainya kalian berdua dari penduduk negeri ini, pasti kalian berdua sudah aku sakiti karena kalian meninggikan suara di masjid Rasulullah -ṣallallāhu 'alaihi wa sallam-!""",id,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:8902,hadith,عن جرير بن عبد الله رضي الله عنه قال: سالت رسول الله صلى الله عليه وسلم عن نظر الفجاءة فامرني ان اصرف بصري.,"Jarīr bin Abdullah -raḍiyallāhu 'anhu- meriwayatkan, ""Aku bertanya kepada Rasulullah ﷺ tentang hukum melihat (perempuan) secara tiba-tiba (tidak sengaja). Maka beliau memerintahkanku agar memalingkan pandanganku!""",id,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:10413,hadith,"عن ابي هريرة رضي الله عنه قال: قالوا: يا رسول الله هل نرى ربنا يوم القيامة؟ قال: «هل تضارون في رؤية الشمس في الظهيرة، ليست في سحابة؟» قالوا: لا، قال: «فهل تضارون في رؤية القمر ليلة البدر، ليس في سحابة؟» قالوا: لا، قال: "" فوالذي نفسي بيده لا تضارون في رؤية ربكم، الا كما تضارون في رؤية احدهما، قال: فيلقى العبد، فيقول: اي فل الم اكرمك، واسودك، وازوجك، واسخر لك الخيل والابل، واذرك تراس، وتربع؟ فيقول: بلى، قال: فيقول: افظننت انك ملاقي؟ فيقول: لا، فيقول: فاني انساك كما نسيتني، ثم يلقى الثاني فيقول: اي فل الم اكرمك، واسودك، وازوجك، واسخر لك الخيل والابل، واذرك تراس، وتربع؟ فيقول: بلى، اي رب فيقول: افظننت انك ملاقي؟ فيقول: لا، فيقول: فاني انساك كما نسيتني، ثم يلقى الثالث، فيقول له مثل ذلك، فيقول: يا رب امنت بك، وبكتابك، وبرسلك، وصليت، وصمت، وتصدقت، ويثني بخير ما استطاع، فيقول: هاهنا اذا، قال: ثم يقال له: الان نبعث شاهدنا عليك، ويتفكر في نفسه: من ذا الذي يشهد علي؟ فيختم على فيه، ويقال لفخذه ولحمه وعظامه: انطقي، فتنطق فخذه ولحمه وعظامه بعمله، وذلك ليعذر من نفسه، وذلك المنافق وذلك الذي يسخط الله عليه.","Dari Abu Hurairah -raḍiyallāhu 'anhu-, ia berkata, Mereka (para sahabat) bertanya, ""Wahai Rasulullah, apakah kita akan melihat Rabb kita pada hari kiamat?"" Beliau balik bertanya, ""Apakah kalian saling mencelakakan (saling berdesakan) saat melihat matahari di siang terik yang tidak ada awannya?"" Mereka menjawab, ""Tidak."" Beliau bertanya lagi, ""Apakah kalian saling mencelakakan (saling berdesakan) saat melihat bulan di malam purnama yang tidak ada awannya?"" mereka menjawab, ""Tidak."" Beliau bersabda, ""Demi Żat yang jiwaku berada di tangan-Nya, kalian tidak saling mencelakakan (saling berdesakan) saat melihat Rabb kalian sebagaimana kalian tidak saling mencelakakan (saling berdesakan) saat melihat salah satunya."" Beliau meneruskan, ""Lalu Dia menemui hamba kemudian bertanya padanya, ""Hai fulan, bukankah Aku telah memuliakanmu, menjadikanmu pemimpin, menikahkanmu, Aku tundukkan kuda dan unta untukmu, Aku membiarkanmu menjadi pemimpin dan ditaati?"" Ia menjawab, ""Benar wahai Rabb."" Dia bertanya lagi, ""Apa kau mengira akan bertemu denganKu?"" Ia menjawab, ""Tidak."" Allah berfirman, ""Sesungguhnya Aku melupakanmu seperti kau melupakan-Ku."" Setelah itu Dia menemui orang yang kedua, lalu Allah berfirman, ""Hai fulan, bukankah Aku telah memuliakanmu, menjadikanmu pemimpin, menikahkanmu, Aku tundukkan kuda dan unta untukmu, Aku membiarkanmu menjadi pemimpin dan ditaati?"" Ia menjawab, ""Benar."" Dia bertanya lagi, ""Apa kau mengira akan bertemu denganKu?"" Ia menjawab, ""Tidak."" Allah berfirman, ""Sesungguhnya Aku melupakanmu seperti kau melupakan-Ku."" Setelah itu Dia menemui orang yang ketiga, lalu Allah berfirman padanya seperti itu, ia berkata, 'Wahai Rabb, aku beriman kepada-Mu, kitab-Mu, rasul-Mu, aku salat, puasa, dan bersedekah,"" Lalu ia memuji dirinya semampunya, kemudian Allah berfirman, ""(Berhentilah) di sini kalau begitu."" Setelah itu dikatakan padanya, ""Sekarang, Kami mengutus saksi Kami untukmu."" Ia lalu berfikir dalam dirinya, siapa gerangan yang akan bersaksi untuknya. Kemudian mulutnya ditutupi dan dikatakan kepada paha, daging, dan tulangnya, ""Berbicaralah."" Lalu paha, daging, dan tulangnya mengucapkan perbuatannya. Demikian itu supaya menjadi alasan untuk dirinya. Itulah orang munafik, itulah orang yang dimurkai Allah.""",id,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:6269,hadith,عن جندب بن سفيان البجلي رضي الله عنه عن النبي صلى الله عليه وسلم انه قال: «من صلى الصبح فهو في ذمة الله، فانظر يا ابن ادم، لا يطلبنك الله من ذمته بشيء».,"Dari Jundub bin Sufyān Al-Bajalī -raḍiyallāhu 'anhu-, dari Rasulullah -ṣallallāhu 'alahi wa sallam-, beliau bersabda, “Siapa mengerjakan salat Subuh maka ia berada dalam lindungan Allah, maka perhatikanlah wahai anak Adam! Janganlah kamu (mengganggu orang yang ada dalam jaminan-Nya sehingga) mengakibatkan kamu dituntut oleh Allah dengan sesuatu!”",id,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
