ref,domain,ar,tgt,tgt_lang,license
hadeethenc:8914,hadith,عن ابن عمر رضي الله عنهما: ان رسول الله صلى الله عليه وسلم نهى عن القزع.,İbn Ömer -radıyallahu anhuma-'dan rivayet edildiğine göre: Rasûlullah -sallallahu aleyhi ve sellem- kaza' türü tıraşı yasakladı.,tr,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:58172,hadith,عن جابر رضي الله عنه قال: قال رسول الله صلى الله عليه وسلم : «لا يبيتن رجل عند امراة ثيب، الا ان يكون ناكحا او ذا محرم».,Câbir -radıyallahu anh-'tan rivayet edildiğine göre dedi ki:Rasûlullah -sallallahu aleyhi ve sellem- şöyle buyurmuştur:''Hiç bir adam dul bir kadının yanında nikahlaması hariç ya da mahrem olmadan gecelemesin.'',tr,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:58140,hadith,عن ابن عباس رضي الله عنهما : طلق عبد يزيد -ابو ركانة واخوته- ام ركانة، ونكح امراة من مزينة، فجاءت النبي صلى الله عليه وسلم ، فقالت: ما يغني عني الا كما تغني هذه الشعرة، لشعرة اخذتها من راسها، ففرق بيني وبينه، فاخذت النبي صلى الله عليه وسلم حمية، فدعا بركانة واخوته، ثم قال لجلسائه: «اترون فلانا يشبه منه كذا وكذا؟ من عبد يزيد، وفلانا يشبه منه كذا وكذا؟» قالوا: نعم، قال النبي صلى الله عليه وسلم لعبد يزيد: «طلقها» ففعل، ثم قال: «راجع امراتك ام ركانة واخوته؟» قال: اني طلقتها ثلاثا يا رسول الله، قال: «قد علمت راجعها» وتلا: {يا ايها النبي اذا طلقتم النساء فطلقوهن لعدتهن} [الطلاق: 1],"İbn Abbas -radıyallahu anh-'tan rivayet edildiğine göre demiştir ki: Rükâne'nin ve kar­deşlerinin babası olan Abdü Yezid (karısı) Ümmü Rükâne'yî boşamış ve Müzeyne (kabilesin)den bir kadınla evlenmişti. Kısa bir süre sonra (bu kadın) Nebî -sallallahu aleyhi ve sellem-'e geldi (ve Ebu Rükâne'nin er­kekliğinin olmadığını ifade etmek maksatıyla) başından aldığı bir kıla (işaret ederek- Abdü Yezid'in) ""Bana ancak şu kıl kadar fayda­sı vardır, başka değil. Bunun üzerine benimle onun arasını ayır"" dedi. Bunun üzerine Nebî -sallallahu aleyhi ve sellem- öfkelendi ve Rükâne ile kardeşleri­ni (yanına) çağırdı. Sonra meclisinde bulunanlara (hitaben Ebu Rü­kâne'nin çocuklarından ikisine işaret ederek);""Falanı şu ve bu bakımlardan falanı da şu ve şu bakımlardan Ebu Yezid'e benzer buluyor musunuz?"" diye sordu. Onlar da; Evet dediler. Peygamber sallallahu aleyhi ve sellem(de) Abdü Yezid'e; ""Onu boşa"" diye emretti. O da (kendisinden istenileni) yaptı. Sonra (Hz. Peygamber; ilk) ""Hanımın (olan) Rükâne ve kardeşle­rinin annesine dön"" buyurdu. (Abdü Yezid de) .Ya Rasûlallah ben onu üç talak ile boşadım dedi. (Rasûlullah da:) ""Biliyorum, sen ona dön."" buyurdu ve (Ey Peygamber, ka­dınları boşadığınız zaman, onları iddetleri içinde boşayın ve iddeti sayın) Talak suresi,1. ayet.",tr,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:5954,hadith,عن ابن الديلمي قال: اتيت ابي بن كعب فقلت: في نفسي شيء من القدر، فحدثني بشيء لعل الله يذهبه من قلبي. فقال: «لو انفقت مثل احد ذهبا ما قبله الله منك حتى تؤمن بالقدر، وتعلم ان ما اصابك لم يكن ليخطئك، وما اخطاك لم يكن ليصيبك، ولو مت على غير هذا لكنت من اهل النار». قال: فاتيت عبد الله بن مسعود، وحذيفة بن اليمان، وزيد بن ثابت، فكلهم حدثني بمثل ذلك عن النبي صلى الله عليه وسلم .,"İbnü'd-Deylemî'den rivayet edildiğine göre şöyle demiştir: ""Ubey b. Kâ'b'ın yanına gelip dedim ki: 'İçimde kader hakkında bir şeyler vardır. Bana bu hususta bîr şeyler anlat ki belki Allah, bu vesveseleri benden giderir.' Dedi ki: 'Eğer Allah yolunda Uhud dağı kadar altın infak etsen, kadere iman etmedikçe Allah bunu senden kabul etmez. Bil ki; başına gelmesi takdir olunanın mutlaka gelecektir, gelmemesi takdir olunmayan da mutlaka gelmiyecektir. Bu itikadın dışında bir itikat üzere ölürsen ateşe girersin! Sonra İbnü'd-Deylemî şöyle demiştir: Abdullah b. Mes'ûd'a, Huzeyfe b. Yemân'a ve Zeyd b. Sâbit'e geldim. Hepsi Nebî -sallallahu aleyhi ve sellem-'den aynısını rivayet etti.""",tr,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:5658,hadith,عن ابن عمر رضي الله عنهما ان رسول الله صلى الله عليه وسلم قال: «انما مثل صاحب القران كمثل صاحب الابل المعقلة، ان عاهد عليها امسكها، وان اطلقها ذهبت».,"İbn Ömer -radıyallahu anhuma-'dan rivayet edildiğine göre, Rasûlullah -sallallahu aleyhi ve sellem- şöyle buyurmuştur: «Kur'an okuma ve ezberine sahip kimsenin misali, bağlı deve gibidir. Eğer sahibi devesini korursa, onu eli altında tutar. Eğer salıverirse deve kaçıp gider.»",tr,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:10877,hadith,عن ابي ذر رضي الله عنه مرفوعا: «اذا قام احدكم الى الصلاة؛ فان الرحمة تواجهه، فلا يمسح الحصى». وعن معيقيب رضي الله عنه ان النبي صلى الله عليه وسلم قال: في الرجل يسوي التراب حيث يسجد، قال: «ان كنت فاعلا فواحدة».,"Ebû Zerr -radıyallahu anh-'tan merfû olarak rivayet edildiğine göre: «Sizden biriniz namaz kılmak için kalktığı zaman, çakıl taşını ellemesin. Çünkü rahmet onun karşısındadır (rahmet ona yönelir).» Muaykîb -radıyallahu anh-'tan rivayet edildiğine göre Nebi -sallallahu aleyhi ve sellem-, secde edeceği yerdeki toprağı eliyle düzelten bir kimsenin du­rumu hakkında: «Bir daha böyle toprak düzleyecek olursan elinle bir defa dokun.»",tr,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:5392,hadith,عن جابر بن عبد الله رضي الله عنهما «ان معاذ بن جبل: كان يصلي مع رسول الله صلى الله عليه وسلم العشاء الاخرة، ثم يرجع الى قومه، فيصلي بهم تلك الصلاة ...». وفي رواية: ان النبي صلى الله عليه وسلم قال لمعاذ: «فلولا صليت بسبح اسم ربك الاعلى، والشمس وضحاها، والليل اذا يغشى، فانه يصلي وراءك الكبير والضعيف وذو الحاجة».,"Câbir b. Abdillah -radıyallahu anhuma-'dan rivayet edildiğine göre şöyle demiştir: ""Muaz b. Cebel Rasûlullah-sallallahu aleyhi ve sellem- ile beraber yatsı namazını kılar, sonra kavmine gelip yatsı namazını kıldırırdı."" Bir rivayette şöyle zikredilmiştir: Nebi -sallallahu aleyhi ve sellem- Muâz'a şöyle demiştir: «Eğer ""Sebbihisme Rabbike'l-a'lâ"" yı, ""Ve'ş-şemsi ve duhâhâ"" yı, ""Ve'l-leyli izâ yağşa"" yı, okuyarak namaz kıldırsaydın. Yaşlı, zayıf ve ihtiyaç sahibi de senin arkanda namaz kılar.»",tr,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:6820,hadith,عن عبد الله بن مسعود رضي الله عنه قال: سمعت النبي صلى الله عليه وسلم يقول: «نضر الله امرا سمع منا شيئا فبلغه كما سمع، فرب مبلغ اوعى من سامع».,"Abdullah b. Mes'ûd -radıyallahu anh-'dan rivayet edildiğine göre, o şöyle demiştir: Rasûlullah -sallallahu aleyhi ve sellem-'in şöyle söylediğini işittim: «Allah, bizden bir söz işitip de başkalarına da bu sözü işittiği gibi aynen aktaran kişinin yüzünü aydınlatsın. Nitekim sözün aktarıldığı kişi, sözü işiten kişiden daha anlayışlı olabilir.»",tr,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:6331,hadith,عن عبد الله بن عمرو بن العاص رضي الله عنهما انه سمع رسول الله صلى الله عليه وسلم، يقول: «ان قلوب بني ادم كلها بين اصبعين من اصابع الرحمن، كقلب واحد، يصرفه حيث يشاء» ثم قال رسول الله صلى الله عليه وسلم: «اللهم مصرف القلوب صرف قلوبنا على طاعتك».,"Abdullah b. Amr b. el-Âs -radıyallahu anhuma-'dan rivayet edildiğine göre, o şöyle demiştir: Rasûlullah -sallallahu aleyhi ve sellem-'in şöyle buyurduğunu işittim: «Doğrusu, bütün âdemoğlunun kalpleri, Rahman’ın iki parmağı arasında, tek bir kalp gibidir. Onu dilediği gibi çevirir.» Sonra da Rasûlullah -sallallahu aleyhi ve sellem- şöyle buyurdu: «Ey kalpleri çeviren Allah’ım! Kalplerimizi itaatine çevir.»",tr,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
hadeethenc:8961,hadith,عن جابر رضي الله عنه : ان رسول الله صلى الله عليه وسلم دخل على ام السائب، او ام المسيب رضي الله عنها فقال: «ما لك يا ام السائب -او يا ام المسيب- تزفزفين؟» قالت: الحمى لا بارك الله فيها! فقال: «لا تسبي الحمى فانها تذهب خطايا بني ادم كما يذهب الكير خبث الحديد».,"Câbir -radıyallahu anh-'den rivayet edildiğine göre Rasûlullah -sallallahu aleyhi ve sellem- Ümmü Sâib veya Ümmü Müseyyeb'in yanına geldi ve: «Ey Ümmü Sâib veya Ümmü Müseyyeb! Sana ne oldu, titriyorsun?» diye sordu. Ümmü Sâib: ""Sıtmaya yakalandım! Allah hayrını vermesin!"" dedi. Bunun üzerine Rasûlullah -sallallahu aleyhi ve sellem-: «Sıtmaya sövme! Çünkü o, körüğün demirin kirini ve pasını giderdiği gibi insanoğlunun hata ve günahlarını giderir.» buyurdu.",tr,"HadeethEnc.com; attribution required, no modification of the published text, keep version/transcript info -- see PLAN.md section 8.1"
